ts,Open,High,Low,Close,Volume
2026-04-21,271.02,272.31,264.93,265.7,50209800
2026-04-22,267.34,273.25,266.39,272.68,43249200
2026-04-23,274.56,275.28,271.17,272.94,33399600
2026-04-24,272.27,272.57,269.17,270.58,38157100
2026-04-27,265.62,267.88,264.6,267.13,41466800
2026-04-28,271.85,272.74,268.18,270.23,40018900
2026-04-29,267.07,270.56,266.56,269.69,30047900
2026-04-30,270.02,275.51,267.66,270.87,91848200
2026-05-01,278.36,286.71,277.87,279.64,79915400
2026-05-04,279.16,280.13,274.37,276.34,46668400
2026-05-05,276.44,284.06,276.01,283.67,49311700
2026-05-06,281.42,287.52,280.57,287.0,58336100
2026-05-07,288.75,291.61,285.27,286.93,45224300
2026-05-08,289.49,294.23,289.48,292.8,52692800
2026-05-11,291.73,293.63,289.98,292.43,42247300
2026-05-12,292.31,295.02,292.31,294.55,45748100
2026-05-13,293.25,300.66,293.25,298.61,52684300
2026-05-14,299.56,300.19,295.13,297.95,35324900
2026-05-15,297.64,302.94,296.26,299.97,54862800
2026-05-18,299.98,300.4,294.66,297.58,34483000
2026-05-19,296.71,300.25,296.09,298.71,42243600
2026-05-20,297.92,302.54,297.82,301.99,38229800
2026-05-21,300.8,305.28,300.14,304.73,42965100
2026-05-22,305.86,311.13,305.58,308.55,43670200
2026-05-26,309.29,311.55,307.4,308.06,48000500
2026-05-27,308.06,312.99,308.03,310.58,50430900
2026-05-28,310.41,312.53,309.3,312.24,48220400
2026-05-29,311.51,314.73,309.26,311.79,70026800
2026-06-01,309.36,310.67,304.76,306.05,48849900
2026-06-02,307.2,315.18,306.43,314.93,44534700
2026-06-03,313.91,316.67,308.58,309.99,50836700
2026-06-04,312.96,313.27,309.38,310.96,44869100
2026-06-05,312.59,314.9,306.89,307.08,65310500
2026-06-08,308.47,317.13,300.91,301.28,77949100
2026-06-09,300.02,300.49,287.53,290.3,70108800
2026-06-10,290.49,294.5,287.13,291.33,52793300
2026-06-11,293.47,296.74,289.34,295.38,42572500
2026-06-12,295.77,296.88,289.37,290.88,38742100
2026-06-15,293.87,297.52,291.45,296.16,45732600
2026-06-16,295.0,300.22,293.72,298.98,39874400
2026-06-17,300.59,301.81,294.11,295.69,42745100
2026-06-18,297.85,300.31,295.37,297.75,85962200
2026-06-22,297.05,302.16,296.5,296.75,44879900
2026-06-23,297.28,301.38,293.93,294.05,52010900
2026-06-24,295.11,299.44,292.69,292.83,53081900
2026-06-25,287.15,288.55,273.51,274.91,107013700
2026-06-26,274.76,285.7,273.97,283.54,261775500
2026-06-29,286.48,288.12,279.61,281.5,66427000
2026-06-30,280.93,289.69,280.46,289.11,65100200
2026-07-01,293.19,296.33,288.95,294.13,50164200
2026-07-02,293.87,309.15,293.43,308.36,75352800
2026-07-06,307.1,313.93,306.74,312.39,53590000
2026-07-07,315.02,315.21,309.88,310.39,42490000
2026-07-08,311.64,314.55,306.79,313.12,41323500
2026-07-09,310.24,316.26,307.89,315.95,48124500
2026-07-10,314.45,316.64,311.9,315.05,34132300
2026-07-13,316.75,323.17,315.51,317.04,43257800
2026-07-14,313.49,315.92,311.64,314.59,36336800
2026-07-15,317.35,328.45,317.05,327.22,60957600
2026-07-16,327.73,334.39,326.51,332.97,62970600
2026-07-17,331.69,334.7,328.72,333.45,63407100
2026-07-20,333.22,333.42,323.4,326.31,53468000
2026-07-21,322.85,329.32,321.94,327.46,41338900
2026-07-22,327.59,328.72,323.06,325.61,38755900
2026-07-23,321.45,323.02,319.07,321.38,40840800
2026-07-24,321.51,334.08,321.34,332.73,47489400
2026-07-27,334.25,339.28,333.73,336.62,49604300
2026-07-28,339.74,342.59,335.31,339.79,51859000
2026-07-29,339.44,344.27,337.06,337.9,56090800
2026-07-30,332.81,334.46,329.31,333.14,74817800
2026-07-31,304.55,310.42,299.74,308.64,132489100
2026-08-03,309.31,311.53,302.3,303.16,75052000
2026-08-04,302.47,310.15,301.06,309.11,68001000
2026-08-05,309.09,311.44,305.41,310.73,49438800
2026-08-06,314.07,316.02,308.96,312.14,46139900
2026-08-07,311.18,314.54,310.47,313.06,34437200
2026-08-10,306.83,308.26,304.61,308.26,44812500
2026-08-11,307.75,309.97,302.79,304.91,37476700
2026-08-12,305.1,305.66,300.57,302.25,41657800
2026-08-13,304.21,306.0,302.05,305.26,40349300
2026-08-14,306.0,307.49,304.3,305.93,28229400
2026-08-17,306.21,307.66,302.94,305.59,38169300
2026-08-18,307.58,311.49,305.74,310.03,53424500
2026-08-19,310.14,319.28,309.6,316.83,50505600
2026-08-20,317.46,320.28,310.65,311.3,40959200
2026-08-21,312.05,312.38,307.01,309.35,46876800
2026-08-24,311.47,313.36,309.97,310.34,34673600
2026-08-25,310.79,313.59,308.21,309.9,25869800
2026-08-26,310.3,315.43,308.8,313.45,34024500
2026-08-27,310.55,315.4,309.4,314.58,32419200
2026-08-28,316.85,322.37,315.45,319.7,38649400
2026-08-31,319.6,321.24,312.8,316.85,41242700
2026-09-01,316.98,327.3,314.73,325.13,53167400
2026-09-02,326.87,328.4,323.53,324.96,33776400
2026-09-03,324.87,330.81,324.11,328.21,37225800
2026-09-04,328.31,328.93,317.86,319.97,39606900
2026-09-08,317.1,320.7,314.9,316.22,35477100
2026-09-09,315.49,319.15,309.9,315.34,65640000
2026-09-10,316.67,326.74,316.51,326.57,69925100
2026-09-11,327.63,336.22,326.3,333.28,31728324
