ts,Open,High,Low,Close,Volume
2026-08-21 12:30:00-04:00,311.2,311.64,310.27,311.06,2476819
2026-08-21 13:30:00-04:00,311.02,311.16,308.4,308.47,3310276
2026-08-21 14:30:00-04:00,308.48,309.85,308.16,309.74,3035461
2026-08-21 15:30:00-04:00,309.75,310.18,309.16,309.42,3550095
2026-08-24 09:30:00-04:00,311.47,313.2,309.97,312.94,6606461
2026-08-24 10:30:00-04:00,312.93,313.33,311.53,312.24,4358724
2026-08-24 11:30:00-04:00,312.24,312.39,311.34,311.93,1959853
2026-08-24 12:30:00-04:00,311.91,313.36,311.86,312.12,2194290
2026-08-24 13:30:00-04:00,312.12,312.35,311.5,311.74,1968689
2026-08-24 14:30:00-04:00,311.72,311.84,310.72,311.25,2188744
2026-08-24 15:30:00-04:00,311.23,311.28,310.17,310.35,3344226
2026-08-25 09:30:00-04:00,310.93,313.58,309.65,310.08,5344241
2026-08-25 10:30:00-04:00,310.08,310.79,308.39,309.31,2926335
2026-08-25 11:30:00-04:00,309.31,310.19,309.22,309.95,1906951
2026-08-25 12:30:00-04:00,309.95,310.1,309.5,309.65,1332591
2026-08-25 13:30:00-04:00,309.65,310.34,308.61,309.54,2457846
2026-08-25 14:30:00-04:00,309.55,309.61,308.21,308.97,2209356
2026-08-25 15:30:00-04:00,308.97,310.3,308.62,309.9,2851594
2026-08-26 09:30:00-04:00,310.24,313.42,308.8,311.8,5614805
2026-08-26 10:30:00-04:00,311.79,313.45,311.66,312.52,3001620
2026-08-26 11:30:00-04:00,312.52,313.94,312.18,313.29,2587551
2026-08-26 12:30:00-04:00,313.3,313.48,312.5,313.13,1913849
2026-08-26 13:30:00-04:00,313.15,313.25,312.65,313.05,1986950
2026-08-26 14:30:00-04:00,313.03,315.25,312.95,314.84,3850057
2026-08-26 15:30:00-04:00,314.86,315.43,313.19,313.48,4389301
2026-08-27 09:30:00-04:00,310.55,312.1,309.4,310.79,7249330
2026-08-27 10:30:00-04:00,310.8,315.16,310.63,314.65,3988636
2026-08-27 11:30:00-04:00,314.65,315.08,314.11,314.57,2807822
2026-08-27 12:30:00-04:00,314.57,315.4,314.25,315.27,1942935
2026-08-27 13:30:00-04:00,315.28,315.34,313.99,314.18,1676322
2026-08-27 14:30:00-04:00,314.2,314.59,313.45,313.57,1894784
2026-08-27 15:30:00-04:00,313.58,315.09,313.37,314.58,3310734
2026-08-28 09:30:00-04:00,317.09,318.13,315.45,316.73,6274224
2026-08-28 10:30:00-04:00,316.73,322.03,316.52,321.94,7393135
2026-08-28 11:30:00-04:00,321.95,322.37,320.54,320.97,4403946
2026-08-28 12:30:00-04:00,320.95,321.52,319.58,319.74,2541939
2026-08-28 13:30:00-04:00,319.81,320.05,319.37,319.54,2007857
2026-08-28 14:30:00-04:00,319.55,319.99,319.05,319.55,3252611
2026-08-28 15:30:00-04:00,319.55,320.33,319.5,319.64,3423783
2026-08-31 09:30:00-04:00,319.56,321.23,315.45,315.71,6501007
2026-08-31 10:30:00-04:00,315.71,315.82,314.36,315.07,3307355
2026-08-31 11:30:00-04:00,315.04,315.23,313.94,314.67,2437167
2026-08-31 12:30:00-04:00,314.6,316.0,312.8,313.88,3893327
2026-08-31 13:30:00-04:00,313.85,316.02,313.39,315.68,2695119
2026-08-31 14:30:00-04:00,315.68,316.16,315.01,316.02,2227790
2026-08-31 15:30:00-04:00,316.03,317.69,315.71,317.23,5002995
2026-09-01 09:30:00-04:00,316.98,325.39,314.74,325.34,14540988
2026-09-01 10:30:00-04:00,325.34,325.86,322.74,324.6,7060269
2026-09-01 11:30:00-04:00,324.62,327.3,324.02,326.66,5503251
2026-09-01 12:30:00-04:00,326.68,326.89,324.48,324.65,4497727
2026-09-01 13:30:00-04:00,324.69,325.75,324.32,325.21,2879767
2026-09-01 14:30:00-04:00,325.2,325.93,324.39,325.57,3499348
2026-09-01 15:30:00-04:00,325.61,325.89,324.1,325.14,5754962
2026-09-02 09:30:00-04:00,326.97,328.4,323.53,324.57,8140570
2026-09-02 10:30:00-04:00,324.58,326.55,324.0,326.55,3210077
2026-09-02 11:30:00-04:00,326.53,327.05,323.89,324.67,5659496
2026-09-02 12:30:00-04:00,324.66,326.5,324.62,325.08,2691833
2026-09-02 13:30:00-04:00,325.08,326.49,324.68,326.3,2545852
2026-09-02 14:30:00-04:00,326.31,326.43,324.6,325.64,2781766
2026-09-02 15:30:00-04:00,325.64,325.95,324.67,324.99,3065203
2026-09-03 09:30:00-04:00,324.95,330.31,324.11,329.71,7570945
2026-09-03 10:30:00-04:00,329.71,330.81,327.61,329.83,5915118
2026-09-03 11:30:00-04:00,329.85,330.57,329.24,330.07,2989051
2026-09-03 12:30:00-04:00,330.04,330.24,327.45,327.73,2487437
2026-09-03 13:30:00-04:00,327.72,328.04,326.68,327.12,2893449
2026-09-03 14:30:00-04:00,327.14,327.84,326.51,327.8,3166307
2026-09-03 15:30:00-04:00,327.79,328.84,327.41,328.21,3531235
2026-09-04 09:30:00-04:00,328.3,328.93,320.44,320.71,9203066
2026-09-04 10:30:00-04:00,320.71,321.16,317.86,319.47,6226795
2026-09-04 11:30:00-04:00,319.47,321.33,319.11,320.5,4008228
2026-09-04 12:30:00-04:00,320.52,321.9,320.41,321.68,2654137
2026-09-04 13:30:00-04:00,321.68,321.68,320.74,320.88,1957604
2026-09-04 14:30:00-04:00,320.88,322.1,320.86,321.79,2682837
2026-09-04 15:30:00-04:00,321.77,321.81,319.65,319.99,4295687
2026-09-08 09:30:00-04:00,317.12,320.7,315.29,315.67,7866168
2026-09-08 10:30:00-04:00,315.67,316.78,315.27,316.25,3628788
2026-09-08 11:30:00-04:00,316.24,316.81,315.46,316.08,2793598
2026-09-08 12:30:00-04:00,316.1,316.56,315.75,316.27,2043779
2026-09-08 13:30:00-04:00,316.27,316.74,315.94,316.39,2237699
2026-09-08 14:30:00-04:00,316.39,316.53,314.92,315.8,3695049
2026-09-08 15:30:00-04:00,315.8,316.69,315.52,316.35,3631577
2026-09-09 09:30:00-04:00,315.41,318.13,314.33,314.75,7809919
2026-09-09 10:30:00-04:00,314.71,314.71,312.11,312.5,5239070
2026-09-09 11:30:00-04:00,312.51,313.71,312.22,313.67,4691671
2026-09-09 12:30:00-04:00,313.68,315.0,310.97,311.7,7975919
2026-09-09 13:30:00-04:00,311.72,314.36,309.9,312.13,14171586
2026-09-09 14:30:00-04:00,312.14,319.15,311.95,315.57,12887925
2026-09-09 15:30:00-04:00,315.56,315.94,314.88,315.41,4968709
2026-09-10 09:30:00-04:00,316.79,323.13,316.57,318.95,15813095
2026-09-10 10:30:00-04:00,319.01,323.82,318.88,323.71,8713414
2026-09-10 11:30:00-04:00,323.67,324.35,319.21,321.9,9627576
2026-09-10 12:30:00-04:00,321.86,324.86,321.26,324.82,8380897
2026-09-10 13:30:00-04:00,324.84,325.68,323.38,324.12,6845299
2026-09-10 14:30:00-04:00,324.11,326.12,323.63,325.29,5455483
2026-09-10 15:30:00-04:00,325.27,326.68,325.17,326.6,5580662
2026-09-11 09:30:00-04:00,327.63,334.59,326.3,334.09,14521482
2026-09-11 10:30:00-04:00,334.09,336.22,332.42,335.57,9018937
2026-09-11 11:30:00-04:00,335.54,335.54,333.63,334.17,4739878
2026-09-11 12:30:00-04:00,334.19,334.85,333.83,333.95,2580323
2026-09-11 13:30:00-04:00,333.96,334.3,333.13,333.28,808389
