ts,Close,High,Low,Open,Volume,ma8,ma10,ma21,ma50,ma100,ma200,ema8,ema21,ema34,ema55,ema89,ema144,ema200,rsi21,macd,macd_sig,macd_hist,vma10,rvol10,vwap,atr14
2026-09-04 14:45:00-04:00,321.665,321.83,321.33,321.355,681301,321.2549,321.1909,320.8404,324.9591,324.9946,320.3316,321.247,321.8714,322.7643,323.4714,323.3609,322.1538,320.7992,43.6691,-0.9461,-1.2635,0.3174,576113.2,1.1826,321.5127,0.9087
2026-09-04 15:00:00-04:00,321.99,322.1,321.38,321.66,742109,321.3525,321.3059,320.7592,324.8949,325.023,320.3791,321.4121,321.8822,322.7201,323.4184,323.3304,322.1516,320.8111,45.2396,-0.821,-1.175,0.354,591646.2,1.2543,321.5215,0.8952
2026-09-04 15:15:00-04:00,321.785,322.04,321.645,322.0,791337,321.365,321.3814,320.7866,324.8308,325.0139,320.4241,321.495,321.8733,322.6666,323.3601,323.2961,322.1465,320.8208,44.4194,-0.73,-1.086,0.356,612168.0,1.2927,321.5305,0.8595
2026-09-04 15:30:00-04:00,320.68,321.8091,320.64,321.77,885376,321.3294,321.3285,320.7852,324.7147,324.9866,320.4622,321.3139,321.7649,322.5531,323.2644,323.238,322.1263,320.8194,40.2852,-0.7386,-1.0165,0.2779,626771.9,1.4126,321.5149,0.8816
2026-09-04 15:45:00-04:00,319.99,320.84,319.651,320.66,3410311,321.2012,321.159,320.7833,324.5801,324.9331,320.4995,321.0197,321.6035,322.4066,323.1474,323.1658,322.0968,320.8111,37.9682,-0.7919,-0.9716,0.1797,893612.8,3.8163,321.366,0.9036
2026-09-08 09:30:00-04:00,317.5183,320.7,315.7,317.12,3837865,320.7323,320.8143,320.7394,324.3678,324.8609,320.5199,320.2416,321.2321,322.1273,322.9464,323.0403,322.0337,320.7783,31.2155,-1.0218,-0.9817,-0.0402,1221106.0,3.1429,317.9728,1.1962
2026-09-08 09:45:00-04:00,316.9,317.65,315.98,317.5,1268175,320.2348,320.4028,320.6258,324.1115,324.7861,320.5397,319.499,320.8383,321.8286,322.7305,322.9038,321.9629,320.7397,29.8224,-1.2397,-1.0333,-0.2064,1298630.9,0.9765,317.6923,1.23
2026-09-08 10:00:00-04:00,315.885,317.26,315.73,316.92,1350814,319.5517,319.8643,320.4551,323.8629,324.7114,320.5521,318.6959,320.388,321.489,322.486,322.7479,321.879,320.6914,27.6921,-1.4772,-1.122,-0.3551,1388512.0,0.9729,317.3992,1.2514
2026-09-08 10:15:00-04:00,315.67,316.0,315.292,315.8705,1409314,318.8023,319.3433,320.2327,323.6166,324.6221,320.564,318.0235,319.9591,321.1565,322.2426,322.5906,321.7934,320.6415,27.2591,-1.6636,-1.2303,-0.4332,1484469.2,0.9494,317.0866,1.2126
2026-09-08 10:30:00-04:00,316.09,316.27,315.27,315.67,952946,318.0648,318.8173,319.9984,323.3291,324.5315,320.5808,317.5938,319.6074,320.8669,322.0228,322.4461,321.7147,320.5962,29.5198,-1.7571,-1.3357,-0.4214,1532954.8,0.6216,316.9558,1.1974
2026-09-08 10:45:00-04:00,315.9746,316.38,315.62,316.09,816979,317.3385,318.2483,319.7568,323.052,324.4276,320.5955,317.234,319.2771,320.5874,321.8068,322.3023,321.6355,320.5502,29.2575,-1.8196,-1.4325,-0.3871,1546522.6,0.5283,316.8741,1.1662
2026-09-08 11:00:00-04:00,316.2,316.57,315.7152,316.0,1046895,316.7785,317.6693,319.552,322.7824,324.3343,320.6135,317.0042,318.9974,320.3367,321.6066,322.1667,321.5606,320.5069,30.5238,-1.8299,-1.512,-0.3179,1577001.2,0.6639,316.8043,1.1439
