ts,Close,High,Low,Open,Volume,ma8,ma10,ma21,ma50,ma100,ma200,ema8,ema21,ema34,ema55,ema89,ema144,ema200,rsi21,macd,macd_sig,macd_hist,vma10,rvol10,vwap,atr14
2026-04-21,265.6959,272.314,264.9272,271.0164,50209800,264.2522,263.2482,257.5856,259.8046,263.8887,251.9508,264.8263,260.4861,259.6452,259.8808,259.5127,256.2236,252.2114,54.7952,2.9212,1.1946,1.7267,42652410.0,1.1772,257.8839,6.0738
2026-04-22,272.6834,273.2524,266.3946,267.3429,43249200,265.8356,264.6727,258.6161,259.7756,263.8533,252.2695,266.5723,261.595,260.3902,260.3381,259.8053,256.4506,252.4151,59.3125,3.4878,1.6532,1.8346,42874050.0,1.0088,258.888,6.1797
2026-04-23,272.9429,275.2787,271.1661,274.56,33399600,267.6112,265.9644,259.6519,259.7706,263.8148,252.5893,267.988,262.6266,261.1075,260.7882,260.0973,256.6781,252.6193,59.4704,3.9127,2.1051,1.8076,43401850.0,0.7695,259.6623,6.032
2026-04-24,270.5771,272.5736,269.1696,272.2741,38157100,269.1372,267.0205,260.5284,259.682,263.7396,252.8915,268.5634,263.3494,261.6487,261.1378,260.3302,256.8698,252.798,57.3399,4.0123,2.4865,1.5257,44088410.0,0.8655,260.4924,5.8707
2026-04-27,267.1333,267.8819,264.5978,265.616,41466800,269.2844,267.86,261.2281,259.7994,263.5876,253.1702,268.2456,263.6934,261.9621,261.352,260.4813,257.0114,252.9406,54.3631,3.7698,2.7432,1.0266,44611620.0,0.9295,261.3753,5.8785
2026-04-28,270.2278,272.7433,268.1814,271.8549,40018900,270.1966,269.0459,262.2696,260.0974,263.4358,253.4707,268.6861,264.2874,262.4344,261.669,260.6979,257.1937,253.1127,56.494,3.7838,2.9513,0.8325,43776440.0,0.9142,262.4751,5.8593
2026-04-29,269.6887,270.5572,266.5643,267.0734,30047900,270.1891,269.4192,263.3885,260.223,263.2989,253.781,268.9089,264.7784,262.8489,261.9554,260.8977,257.366,253.2776,56.0157,3.7086,3.1028,0.6058,41789880.0,0.719,263.3699,5.726
2026-04-30,270.8666,275.5083,267.6624,270.0181,91848200,269.977,270.2128,264.2232,260.3628,263.2082,254.0948,269.3439,265.3319,263.3071,262.2736,261.1193,257.5522,253.4526,56.854,3.7014,3.2225,0.4789,46642390.0,1.9692,264.6197,5.8774
2026-05-01,279.641,286.7083,277.8741,278.3632,79915400,271.7201,271.202,265.3883,260.7533,263.2244,254.4473,271.6322,266.6327,264.2404,262.8939,261.5309,257.8569,253.7132,62.4515,4.3535,3.4487,0.9048,48490310.0,1.6481,266.4544,6.5891
2026-05-04,276.3369,280.1301,274.3704,279.1618,46668400,272.1768,271.5793,266.3822,260.9978,263.2164,254.7839,272.6776,267.5149,264.9317,263.374,261.8599,258.1118,253.9383,59.4043,4.5512,3.6692,0.882,49498130.0,0.9428,267.2226,6.5299
2026-05-05,283.6738,284.0631,276.0075,276.4367,49311700,273.5181,273.3771,267.5858,261.3572,263.2888,255.1515,275.1212,268.9839,266.0026,264.099,262.3446,258.4644,254.2342,63.5509,5.2395,3.9833,1.2563,49408320.0,0.998,269.0453,6.6389
2026-05-06,286.9978,287.5169,280.5693,281.4178,58336100,275.5707,274.8086,269.2024,261.664,263.3786,255.5292,277.7605,270.6215,267.2024,264.9168,262.8925,258.858,254.5602,65.2399,5.9843,4.3835,1.6008,50917010.0,1.1457,270.5256,6.6609
2026-05-07,286.9279,291.6096,285.2709,288.7547,45224300,278.0451,276.2071,270.5591,261.9278,263.4751,255.897,279.7977,272.1039,268.3295,265.7029,263.4266,259.2451,254.8822,65.1733,6.494,4.8056,1.6884,52099480.0,0.868,271.6963,6.6379
2026-05-08,292.7975,294.2349,289.4834,289.4934,52692800,280.8663,278.4291,272.1196,262.3344,263.6278,256.2954,282.6865,273.9852,269.7277,266.6706,264.0793,259.7079,255.2595,68.0524,7.2876,5.302,1.9856,53553050.0,0.9839,273.173,6.6857
2026-05-11,292.4278,293.6268,289.9799,291.7284,42247300,283.7087,280.9586,273.663,262.9088,263.8185,256.6938,284.8513,275.6618,271.0249,267.5905,264.7093,260.1592,255.6293,67.6823,7.7968,5.8009,1.9959,53631100.0,0.7877,274.5346,6.4686
