ts,Close,High,Low,Open,Volume,ma8,ma10,ma21,ma50,ma100,ma200,ema8,ema21,ema34,ema55,ema89,ema144,ema200,rsi21,macd,macd_sig,macd_hist,vma10,rvol10,vwap,atr14
2026-08-21 12:30:00-04:00,311.06,311.64,310.27,311.2,2476819,312.1098,313.0563,313.8943,308.8363,308.5229,317.9741,311.9062,312.3322,311.4639,310.7389,311.1386,312.1154,312.1388,49.9261,0.4165,1.3572,-0.9406,4544259.3,0.545,309.7056,2.312
2026-08-21 13:30:00-04:00,308.47,311.16,308.4005,311.02,3310276,311.0848,312.1813,313.7915,308.9625,308.544,317.9417,311.1426,311.9811,311.2929,310.6579,311.0793,312.0651,312.1023,45.1859,0.0706,1.0999,-1.0293,4575637.0,0.7235,309.6664,2.344
2026-08-21 14:30:00-04:00,309.74,309.85,308.16,308.475,3035461,310.4473,311.5088,313.7929,309.1348,308.5691,317.9189,310.8309,311.7774,311.2041,310.6251,311.0496,312.033,312.0788,47.7405,-0.1,0.8599,-0.9599,4677699.9,0.6489,309.6287,2.2973
2026-08-21 15:30:00-04:00,309.42,310.179,309.16,309.75,3550095,309.9535,310.7838,313.7558,309.2896,308.6081,317.8997,310.5174,311.5631,311.1022,310.5821,311.0134,311.997,312.0524,47.1591,-0.258,0.6363,-0.8943,4830087.2,0.735,309.6247,2.206
2026-08-24 09:30:00-04:00,312.94,313.1999,309.97,311.47,6606461,310.1535,310.5938,313.6096,309.5039,308.6871,317.89,311.0557,311.6883,311.2072,310.6663,311.0562,312.01,312.0612,53.6759,-0.098,0.4894,-0.5875,5236188.5,1.2617,312.0366,2.3184
2026-08-24 10:30:00-04:00,312.24,313.33,311.53,312.93,4358724,310.7091,310.4808,313.3267,309.6358,308.7768,317.8751,311.3189,311.7384,311.2662,310.7225,311.0825,312.0132,312.063,52.3283,-0.0274,0.3861,-0.4135,5356367.3,0.8137,312.1678,2.2814
2026-08-24 11:30:00-04:00,311.9286,312.39,311.34,312.24,1959853,310.8752,310.5397,313.1062,309.8,308.828,317.8562,311.4544,311.7557,311.3041,310.7656,311.1013,312.012,312.0616,51.7218,0.0033,0.3095,-0.3062,5003801.8,0.3917,312.1251,2.1934
2026-08-24 12:30:00-04:00,312.1199,313.36,311.86,311.91,2194290,310.9898,310.9722,312.9662,309.9738,308.8924,317.8422,311.6023,311.7888,311.3507,310.8139,311.1239,312.0135,312.0622,52.0801,0.0427,0.2561,-0.2135,3852691.2,0.5695,312.1718,2.1439
2026-08-24 13:30:00-04:00,311.74,312.35,311.5,312.119,1968689,311.0748,311.0862,312.8186,310.1418,308.9448,317.7774,311.6329,311.7844,311.3729,310.847,311.1376,312.0097,312.059,51.2864,0.0427,0.2135,-0.1708,3371981.8,0.5838,312.1362,2.0515
2026-08-24 14:30:00-04:00,311.25,311.84,310.72,311.72,2188744,311.4223,311.0908,312.5601,310.3006,308.9683,317.7055,311.5478,311.7358,311.3659,310.8614,311.1401,311.9992,312.051,50.2494,0.0031,0.1714,-0.1683,3164941.2,0.6916,312.0379,1.9849
2026-08-24 15:30:00-04:00,310.35,311.2799,310.172,311.23,3344226,311.4986,311.0198,312.2491,310.4196,308.9786,317.6164,311.2816,311.6098,311.3078,310.8431,311.1225,311.9765,312.034,48.3635,-0.0997,0.1172,-0.2169,3251681.9,1.0285,311.8254,1.9223
2026-08-25 09:30:00-04:00,310.085,313.58,309.65,310.935,5344241,311.5817,311.1813,311.9451,310.5149,308.9836,317.5319,311.0157,311.4712,311.238,310.8161,311.0995,311.9504,312.0146,47.8087,-0.2002,0.0537,-0.2539,3455078.4,1.5468,311.105,2.0657
2026-08-25 10:30:00-04:00,309.3101,310.79,308.39,310.08,2926335,311.1279,311.1384,311.5684,310.6013,308.9828,317.4395,310.6367,311.2747,311.1278,310.7623,311.0597,311.914,311.9877,46.1822,-0.3386,-0.0248,-0.3138,3444165.8,0.8496,310.5359,2.0896
2026-08-25 11:30:00-04:00,309.955,310.19,309.22,309.31,1906951,310.8423,311.1919,311.2584,310.6897,309.0151,317.354,310.4852,311.1548,311.0608,310.7334,311.0352,311.887,311.9675,47.7359,-0.3916,-0.0981,-0.2935,3279851.4,0.5814,310.3959,2.0096
2026-08-25 12:30:00-04:00,309.655,310.1,309.5,309.95,1332591,310.5581,310.8634,310.9244,310.7739,309.0257,317.2644,310.3007,311.0184,310.9805,310.6949,311.0045,311.8562,311.9445,47.0721,-0.4527,-0.169,-0.2836,2752464.4,0.4841,310.3213,1.9089
2026-08-25 13:30:00-04:00,309.54,310.34,308.61,309.655,2457846,310.2356,310.5934,310.672,310.8608,309.0347,317.1603,310.1317,310.884,310.8981,310.6537,310.972,311.8242,311.9206,46.8102,-0.5045,-0.2361,-0.2684,2562376.6,0.9592,310.1762,1.8961
2026-08-25 14:30:00-04:00,308.9701,309.61,308.21,309.555,2209356,309.8894,310.2975,310.4625,310.9207,309.027,317.052,309.8735,310.71,310.788,310.5936,310.9275,311.7849,311.8912,45.4926,-0.5849,-0.3059,-0.279,2587326.9,0.8539,310.006,1.8607
2026-08-25 15:30:00-04:00,309.9,310.3,308.62,308.9701,2851594,309.7206,310.0755,310.3939,310.9998,309.0441,316.9458,309.8794,310.6364,310.7372,310.5688,310.9046,311.7589,311.8714,48.0002,-0.5669,-0.3581,-0.2088,2653057.3,1.0748,309.9461,1.8478
2026-08-26 09:30:00-04:00,311.795,313.4199,308.8001,310.245,5614805,309.9013,310.081,310.5844,311.1167,309.0659,316.8402,310.3051,310.7417,310.7977,310.6126,310.9244,311.7594,311.8706,52.6603,-0.3953,-0.3655,-0.0298,3017668.9,1.8606,311.3383,2.0458
