ts,Open,High,Low,Close,Volume
2026-09-04 14:45:00-04:00,321.36,321.83,321.33,321.67,681301
2026-09-04 15:00:00-04:00,321.66,322.1,321.38,321.99,742109
2026-09-04 15:15:00-04:00,322.0,322.04,321.64,321.79,791337
2026-09-04 15:30:00-04:00,321.77,321.81,320.64,320.68,885376
2026-09-04 15:45:00-04:00,320.66,320.84,319.65,319.99,3410311
2026-09-08 09:30:00-04:00,317.12,320.7,315.7,317.52,3837865
2026-09-08 09:45:00-04:00,317.5,317.65,315.98,316.9,1268175
2026-09-08 10:00:00-04:00,316.92,317.26,315.73,315.89,1350814
2026-09-08 10:15:00-04:00,315.87,316.0,315.29,315.67,1409314
2026-09-08 10:30:00-04:00,315.67,316.27,315.27,316.09,952946
2026-09-08 10:45:00-04:00,316.09,316.38,315.62,315.97,816979
2026-09-08 11:00:00-04:00,316.0,316.57,315.72,316.2,1046895
2026-09-08 11:15:00-04:00,316.2,316.78,315.75,316.25,811968
2026-09-08 11:30:00-04:00,316.24,316.81,316.02,316.42,727123
2026-09-08 11:45:00-04:00,316.41,316.6,316.0,316.08,649119
2026-09-08 12:00:00-04:00,316.07,316.27,315.54,315.6,696096
2026-09-08 12:15:00-04:00,315.59,316.14,315.46,316.08,721260
2026-09-08 12:30:00-04:00,316.1,316.18,315.88,316.09,545711
2026-09-08 12:45:00-04:00,316.08,316.18,315.75,315.99,526867
2026-09-08 13:00:00-04:00,315.99,316.56,315.95,316.18,532571
2026-09-08 13:15:00-04:00,316.17,316.28,315.79,316.27,438630
2026-09-08 13:30:00-04:00,316.27,316.33,316.04,316.26,576982
2026-09-08 13:45:00-04:00,316.26,316.3,315.94,316.03,478644
2026-09-08 14:00:00-04:00,316.02,316.52,315.97,316.33,486123
2026-09-08 14:15:00-04:00,316.33,316.74,315.95,316.39,695950
2026-09-08 14:30:00-04:00,316.39,316.53,315.38,315.47,900952
2026-09-08 14:45:00-04:00,315.47,315.98,314.92,315.53,1168535
2026-09-08 15:00:00-04:00,315.52,316.53,315.35,316.09,871956
2026-09-08 15:15:00-04:00,316.09,316.09,315.52,315.8,753606
2026-09-08 15:30:00-04:00,315.8,316.36,315.52,316.18,896403
2026-09-08 15:45:00-04:00,316.2,316.69,315.7,316.35,2735174
2026-09-09 09:30:00-04:00,315.41,316.21,315.05,315.85,2868314
2026-09-09 09:45:00-04:00,315.85,318.0,315.5,317.87,1654993
2026-09-09 10:00:00-04:00,317.86,318.13,315.51,315.54,1732704
2026-09-09 10:15:00-04:00,315.54,315.69,314.33,314.75,1553908
2026-09-09 10:30:00-04:00,314.71,314.71,312.95,313.24,1484572
2026-09-09 10:45:00-04:00,313.22,313.75,313.11,313.38,1170710
2026-09-09 11:00:00-04:00,313.39,313.42,312.17,312.22,1498282
2026-09-09 11:15:00-04:00,312.23,312.76,312.11,312.5,1085506
2026-09-09 11:30:00-04:00,312.51,313.59,312.22,313.29,1444865
2026-09-09 11:45:00-04:00,313.25,313.6,312.92,313.17,971106
2026-09-09 12:00:00-04:00,313.17,313.5,312.86,313.39,715287
2026-09-09 12:15:00-04:00,313.38,313.71,313.24,313.67,1560413
2026-09-09 12:30:00-04:00,313.68,314.38,313.44,314.34,920137
2026-09-09 12:45:00-04:00,314.36,314.36,313.58,314.01,1004868
2026-09-09 13:00:00-04:00,314.01,315.0,312.31,312.86,2985674
2026-09-09 13:15:00-04:00,312.83,313.11,310.97,311.7,3065240
2026-09-09 13:30:00-04:00,311.72,313.34,311.05,312.52,2739380
2026-09-09 13:45:00-04:00,312.51,314.36,312.13,313.26,3083548
2026-09-09 14:00:00-04:00,313.26,313.79,310.08,310.08,3131780
2026-09-09 14:15:00-04:00,310.06,313.43,309.9,312.13,5216878
2026-09-09 14:30:00-04:00,312.14,314.28,311.95,314.12,1571066
2026-09-09 14:45:00-04:00,314.12,319.15,313.76,316.66,6623905
2026-09-09 15:00:00-04:00,316.68,317.2,315.14,315.86,3167952
2026-09-09 15:15:00-04:00,315.87,316.36,315.16,315.57,1525002
2026-09-09 15:30:00-04:00,315.56,315.89,314.88,315.77,1558908
2026-09-09 15:45:00-04:00,315.76,315.94,315.02,315.41,3409801
2026-09-10 09:30:00-04:00,316.79,323.13,316.57,319.93,9486570
2026-09-10 09:45:00-04:00,319.94,321.18,317.84,318.93,2899854
2026-09-10 10:00:00-04:00,318.76,320.0,318.11,319.34,2171735
2026-09-10 10:15:00-04:00,319.33,320.0,318.75,318.95,1254936
2026-09-10 10:30:00-04:00,319.01,320.85,318.88,320.07,1636874
2026-09-10 10:45:00-04:00,320.06,323.19,319.79,323.01,2772470
2026-09-10 11:00:00-04:00,323.04,323.37,321.77,321.94,2429494
2026-09-10 11:15:00-04:00,321.92,323.82,321.6,323.71,1874576
2026-09-10 11:30:00-04:00,323.67,324.35,322.38,322.49,2760039
2026-09-10 11:45:00-04:00,322.47,322.63,319.22,319.57,3229762
2026-09-10 12:00:00-04:00,319.57,320.49,319.21,320.14,1935656
2026-09-10 12:15:00-04:00,320.14,321.92,319.96,321.9,1702119
2026-09-10 12:30:00-04:00,321.86,324.73,321.26,324.49,2790808
2026-09-10 12:45:00-04:00,324.48,324.83,323.03,323.35,2619911
2026-09-10 13:00:00-04:00,323.35,323.99,322.85,323.55,1297239
2026-09-10 13:15:00-04:00,323.57,324.86,323.42,324.82,1672939
2026-09-10 13:30:00-04:00,324.84,325.68,324.35,325.44,2668880
2026-09-10 13:45:00-04:00,325.44,325.65,324.95,325.01,1409873
2026-09-10 14:00:00-04:00,325.03,325.19,323.45,323.65,1562830
2026-09-10 14:15:00-04:00,323.65,324.47,323.38,324.12,1203716
2026-09-10 14:30:00-04:00,324.11,324.55,323.63,324.4,930498
2026-09-10 14:45:00-04:00,324.4,325.5,324.21,325.38,1316655
2026-09-10 15:00:00-04:00,325.38,325.89,324.94,325.8,1603290
2026-09-10 15:15:00-04:00,325.79,326.12,325.19,325.29,1605040
2026-09-10 15:30:00-04:00,325.27,325.83,325.17,325.4,1439334
2026-09-10 15:45:00-04:00,325.37,326.68,325.17,326.6,4141328
2026-09-11 09:30:00-04:00,327.63,334.27,326.3,333.35,8088905
2026-09-11 09:45:00-04:00,333.39,333.75,331.01,332.47,2689877
