published,publisher,title,link,candle_ts,fwd_4h_ret_pct
2026-09-11 05:00,Yahoo Finance Video,What a Republican 'wipeout' in the midterm elections means for investors,https://finance.yahoo.com/video/republican-wipeout-midterm-elections-means-120000609.html,2026-09-11 09:30:00,-0.02
2026-09-10 12:29,Yahoo Finance Video,Why hardware will attract buyers to Apple's new lineup over AI features,https://finance.yahoo.com/video/why-hardware-attract-buyers-apples-192906871.html,2026-09-10 12:30:00,2.22
2026-09-11 10:30,24/7 Wall St.,"Apple Stock Has Returned Nearly 1,200% in 10 Years. How High Can AAPL Go From Here?",https://247wallst.com/investing/2026/09/11/apple-stock-has-returned-nearly-1200-in-10-years-how-high-can-aapl-go-from-here/,2026-09-11 10:45:00,-0.5
2026-09-11 10:17,24/7 Wall St.,"‘Apple and Microsoft Look Like Value Stocks’: Morningstar on SanDisk’s 2,107% Year",https://247wallst.com/investing/2026/09/11/apple-and-microsoft-look-like-value-stocks-morningstar-on-sandisks-2107-year/,2026-09-11 10:30:00,-0.42
2026-09-11 10:15,24/7 Wall St.,Apple’s $164 Billion Rally Hinges on iPhone Duo Adoption Among 6 Million Premium Buyers,https://247wallst.com/investing/2026/09/11/apples-164-billion-rally-hinges-on-iphone-duo-adoption-among-6-million-premium-buyers/,2026-09-11 10:30:00,-0.42
2026-09-11 10:05,Investor's Business Daily,Stock Market Today: Dow Rallies On Surprise Inflation Data; Analog Devices Retakes Key Level (Live Coverage),https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-cpi-inflation-report-oracle-stock-orcl/?src=A00220&yptr=yahoo,2026-09-11 10:15:00,-0.24
2026-09-11 09:33,TheStreet,Bank of America resets Apple stock price target after iPhone Duo launch,https://www.thestreet.com/investing/stocks/bank-of-america-cuts-apple-stock-price-target-after-iphone-duo-launch,2026-09-11 09:45:00,0.24
2026-09-11 09:26,The Wall Street Journal,"Tech, Media & Telecom Roundup: Market Talk",https://www.wsj.com/business/tech-media-telecom-roundup-market-talk-4044eee2?siteid=yhoof2&yptr=yahoo,2026-09-11 09:30:00,-0.02
2026-09-11 09:08,CoinDesk,"Kalshi wants 24/7 perps on Tesla, Apple & Nvidia",http://videos.coindesk.com/previews/d0oTwPBl,2026-09-11 09:30:00,-0.02
2026-09-11 09:00,24/7 Wall St.,The Next Growth Cycle Could Take Qualcomm to New Highs,https://247wallst.com/investing/2026/09/11/the-next-growth-cycle-could-take-qualcomm-to-new-highs/,2026-09-11 09:30:00,-0.02
