date,side,price,bar,known_at
2024-09-16,low,212.15,3,2024-09-19
2024-09-20,high,231.16,7,2024-09-25
2024-09-25,low,222.16,10,2024-09-30
2024-09-30,high,231.07,13,2024-10-03
2024-10-07,low,219.49,18,2024-10-10
2024-10-15,high,235.52,24,2024-10-18
2024-10-21,high,234.89,28,2024-10-24
2024-10-23,low,225.87,30,2024-10-28
2024-11-04,low,217.89,38,2024-11-07
2024-11-08,high,227.01,42,2024-11-13
2024-12-20,low,243.92,71,2024-12-26
2024-12-26,high,258.23,74,2024-12-31
2025-01-21,low,217.8,89,2025-01-24
2025-01-31,high,245.41,97,2025-02-05
2025-02-03,low,224.07,98,2025-02-06
2025-02-25,high,248.47,113,2025-02-28
2025-03-07,high,239.89,121,2025-03-12
2025-03-13,low,207.15,125,2025-03-18
2025-03-21,low,209.99,131,2025-03-26
2025-03-31,high,224.24,137,2025-04-03
2025-04-08,low,168.18,143,2025-04-11
2025-04-14,high,211.64,147,2025-04-17
2025-04-21,low,188.65,151,2025-04-24
2025-05-01,high,213.25,159,2025-05-06
2025-05-07,low,192.07,163,2025-05-12
2025-05-14,high,212.91,168,2025-05-19
2025-05-23,low,192.53,175,2025-05-29
2025-05-29,high,202.83,178,2025-06-03
2025-05-30,low,195.83,179,2025-06-04
2025-06-04,high,205.25,182,2025-06-09
2025-06-18,low,194.13,192,2025-06-24
2025-06-30,low,198.3,199,2025-07-03
2025-07-07,high,215.19,203,2025-07-10
2025-07-09,low,206.22,205,2025-07-14
2025-07-21,high,214.74,213,2025-07-24
2025-08-01,low,200.53,222,2025-08-06
2025-08-14,high,234.25,231,2025-08-19
2025-08-21,low,222.96,236,2025-08-26
2025-09-02,low,226.13,243,2025-09-05
2025-09-05,high,240.43,246,2025-09-10
2025-09-10,low,225.12,249,2025-09-15
2025-10-03,high,258.29,266,2025-10-08
2025-10-10,low,243.1,271,2025-10-15
2025-10-21,high,264.31,278,2025-10-24
2025-10-31,high,276.3,286,2025-11-05
2025-11-03,low,265.27,287,2025-11-06
2025-11-07,low,265.79,291,2025-11-12
2025-11-13,high,275.95,295,2025-11-18
2025-11-18,low,264.6,298,2025-11-21
2025-12-03,high,287.84,308,2025-12-08
2025-12-15,high,279.39,316,2025-12-18
2025-12-18,low,266.23,319,2025-12-23
2025-12-24,high,274.68,323,2025-12-30
2026-01-02,high,277.09,328,2026-01-07
2026-01-08,low,255.01,332,2026-01-13
2026-01-14,high,261.11,336,2026-01-20
2026-01-20,low,242.76,339,2026-01-23
2026-01-27,high,261.24,344,2026-01-30
2026-01-30,low,251.5,347,2026-02-04
2026-02-06,high,280.15,352,2026-02-11
2026-02-13,low,254.99,357,2026-02-19
2026-02-26,high,275.62,365,2026-03-03
2026-03-09,low,253.23,372,2026-03-12
2026-03-10,high,262.01,373,2026-03-13
2026-03-20,low,245.56,381,2026-03-25
2026-03-26,high,256.54,385,2026-03-31
2026-03-30,low,245.07,387,2026-04-02
2026-04-06,high,261.69,391,2026-04-09
2026-04-07,low,245.26,392,2026-04-10
2026-04-23,high,275.28,404,2026-04-28
2026-04-27,low,264.6,406,2026-04-30
2026-05-15,high,302.94,420,2026-05-20
2026-06-01,low,304.76,430,2026-06-04
2026-06-08,high,317.13,435,2026-06-11
2026-06-10,low,287.13,437,2026-06-15
2026-06-22,high,302.16,444,2026-06-25
2026-06-25,low,273.51,447,2026-06-30
2026-07-17,high,334.7,462,2026-07-22
2026-07-23,low,319.07,466,2026-07-28
2026-07-29,high,344.27,470,2026-08-03
2026-07-31,low,299.74,472,2026-08-05
2026-08-06,high,316.02,476,2026-08-11
2026-08-12,low,300.57,480,2026-08-17
2026-08-20,high,320.28,486,2026-08-25
2026-09-03,high,330.81,496,2026-09-09
