asof,pred_dir,pred_lvl,pred_eta,true_side,true_lvl,true_in,err_pct,hit,why
2011-12-08,up,11.63,1,low,11.3,4,2.92,False,v2 range mid+0.272
2011-12-12,up,11.8,1,low,11.3,2,4.42,False,v2 weak-up 0.786 retrace
2011-12-19,down,11.36,1,high,12.24,5,7.19,False,v2 range mid+0.272
2011-12-30,up,12.03,1,high,12.79,5,5.94,False,v2 range mid+0.272
2012-01-12,up,12.66,1,low,12.52,1,1.12,False,v2 range mid+0.272
2012-01-19,up,12.96,1,low,12.55,3,3.27,False,v2 strong-up 1.618 ext
2012-01-24,up,12.82,2,high,13.59,1,5.67,False,v2 weak-up 0.786 retrace
2012-01-27,up,13.12,2,high,15.74,13,16.65,False,v2 strong-up 1.618 ext
2012-01-30,up,14.23,5,high,15.74,12,9.59,False,v2 strong-up 1.618 ext
2012-02-21,up,17.07,8,high,16.4,7,4.09,False,v2 strong-up 1.618 ext
2012-02-22,up,16.48,5,high,16.4,6,0.49,True,v2 strong-up 1.618 ext
2012-03-06,up,17.54,6,high,18.23,11,3.78,False,v2 strong-up 1.618 ext
2012-03-09,up,16.99,2,high,18.23,8,6.8,False,v2 strong-up 1.618 ext
2012-03-26,up,19.95,5,high,18.59,2,7.32,False,v2 strong-up 1.618 ext
2012-04-02,up,18.81,1,high,19.26,5,2.34,False,v2 strong-up 1.618 ext
2012-04-04,up,19.03,1,high,19.26,3,1.19,False,v2 strong-up 1.618 ext
2012-04-13,up,20.11,6,low,16.6,7,21.14,False,v2 strong-up 1.618 ext
2012-04-27,up,18.65,1,low,16.71,7,11.61,False,v2 range mid+0.272
2012-04-30,down,17.0,1,low,16.71,6,1.74,False,v2 weak-down 0.786 retrace
2012-05-11,down,17.11,1,low,15.62,5,9.54,False,v2 range mid+0.272
2012-05-15,down,16.83,1,low,15.62,3,7.75,False,v2 range mid+0.272
2012-05-23,down,15.96,3,high,17.39,5,8.22,False,v2 weak-down 0.786 retrace
2012-06-05,down,16.02,2,high,17.6,4,8.98,False,v2 range mid+0.272
2012-06-07,up,17.18,1,high,17.6,2,2.39,False,v2 weak-up 0.786 retrace
2012-06-14,up,17.35,1,high,17.65,3,1.7,False,v2 weak-up 0.786 retrace
2012-06-15,up,17.46,1,high,17.65,2,1.08,False,v2 weak-up 0.786 retrace
2012-06-22,up,17.5,1,low,16.92,4,3.43,False,v2 weak-up 0.786 retrace
2012-07-03,up,17.48,2,high,18.54,4,5.72,False,v2 range mid+0.272
2012-07-13,up,18.17,1,high,18.4,4,1.25,False,v2 range mid+0.272
2012-07-17,up,18.37,1,high,18.4,2,0.16,True,v2 weak-up 0.786 retrace
2012-07-24,up,18.25,1,low,17.05,1,7.04,False,v2 range mid+0.272
2012-07-30,down,17.34,1,high,18.69,6,7.22,False,v2 weak-down 0.786 retrace
2012-08-10,up,18.32,1,high,20.27,7,9.62,False,v2 range mid+0.272
2012-08-24,up,19.91,1,high,20.45,1,2.64,False,v2 range mid+0.272
2012-08-30,up,20.41,2,low,19.74,1,3.39,False,v2 range mid+0.272
2012-09-06,up,20.89,2,low,19.7,4,6.04,False,v2 strong-up 1.618 ext
2012-09-17,up,19.73,4,high,21.18,4,6.85,False,v2 range mid+0.272
2012-09-26,up,20.84,3,low,19.54,4,6.65,False,v2 range mid+0.272
2012-10-05,down,19.91,1,low,18.73,2,6.3,False,v2 range mid+0.272
2012-10-12,down,18.91,1,low,18.74,1,0.91,True,v2 range mid+0.272
2012-10-18,up,18.74,1,low,18.31,1,2.35,False,v2 weak-up 0.786 retrace
2012-10-22,down,18.94,1,low,16.11,12,17.57,False,v2 range mid+0.272
2012-10-24,down,18.59,1,low,16.11,10,15.39,False,v2 weak-down 0.786 retrace
2012-11-14,down,14.75,3,low,15.26,2,3.34,False,v2 strong-down 1.618 ext
2012-11-21,down,15.44,3,high,17.94,7,13.94,False,v2 weak-down 0.786 retrace
2012-12-06,down,15.83,2,low,15.12,7,4.7,False,v2 weak-down 0.786 retrace
2012-12-11,down,16.17,1,low,15.12,4,6.94,False,v2 range mid+0.272
2012-12-20,down,14.79,3,low,15.23,4,2.89,False,v2 strong-down 1.618 ext
2013-01-02,down,15.15,4,low,15.55,3,2.57,False,v2 range mid+0.272
2013-01-07,down,15.58,1,low,14.59,6,6.79,False,v2 range mid+0.272
2013-01-10,down,15.82,1,low,14.59,3,8.43,False,v2 range mid+0.272
2013-01-18,down,14.8,1,high,15.54,2,4.76,False,v2 weak-down 0.786 retrace
2013-01-28,down,14.0,1,high,13.96,2,0.29,False,v2 strong-down 1.618 ext
2013-01-30,down,11.64,6,low,13.34,3,12.74,False,v2 strong-down 1.618 ext
2013-02-04,down,12.62,2,high,14.72,5,14.27,False,v2 strong-down 1.618 ext
2013-02-07,down,13.48,2,high,14.72,2,8.42,False,v2 range mid+0.272
2013-02-14,up,14.42,1,low,12.72,11,13.36,False,v2 weak-up 0.786 retrace
2013-03-07,down,13.18,1,high,13.32,2,1.05,False,v2 range mid+0.272
2013-03-14,down,12.85,1,high,14.26,7,9.89,False,v2 weak-down 0.786 retrace
2013-03-28,down,13.53,1,low,12.74,5,6.2,False,v2 range mid+0.272
