asof,pred_dir,pred_lvl,pred_eta,true_side,true_lvl,true_in,err_pct,hit,why
2024-12-26,up,250.38,2,low,217.8,15,14.96,False,v4 low->high 38% retrace
2024-12-31,down,252.76,1,low,217.8,12,16.05,False,v4 high->low 38% retrace
2025-01-24,up,233.24,3,high,245.41,5,4.96,False,v4 low->high 38% retrace
2025-02-05,down,234.86,1,high,248.47,13,5.48,False,v4 high->low 38% retrace
2025-02-06,up,232.22,1,high,248.47,12,6.54,False,v4 low->high 38% retrace
2025-02-28,down,239.15,1,high,239.89,5,0.31,False,v4 high->low 38% retrace
2025-03-12,down,236.61,4,low,207.15,1,14.22,False,v4 high->low 38% retrace
2025-03-18,up,219.66,2,low,209.99,3,4.6,False,v4 low->high 38% retrace
2025-03-26,up,211.07,2,high,224.24,3,5.87,False,v4 low->high 38% retrace
2025-04-03,down,218.8,3,low,168.18,3,30.1,False,v4 high->low 38% retrace
2025-04-11,up,189.59,1,high,211.64,1,10.42,False,v4 low->high 38% retrace
2025-04-17,down,195.04,1,low,188.65,1,3.39,False,v4 high->low 38% retrace
2025-04-24,up,197.43,2,high,213.25,5,7.42,False,v4 low->high 38% retrace
2025-05-06,down,203.85,1,low,192.07,1,6.13,False,v4 high->low 38% retrace
2025-05-12,up,200.16,2,high,212.91,2,5.99,False,v4 low->high 38% retrace
2025-05-19,down,204.95,1,low,192.53,4,6.45,False,v4 high->low 38% retrace
2025-05-29,up,200.32,1,low,195.83,1,2.29,False,v4 low->high 38% retrace
2025-06-03,down,198.9,1,high,205.25,1,3.09,False,v4 high->low 38% retrace
2025-06-04,up,198.5,1,low,194.13,10,2.25,False,v4 low->high 38% retrace
2025-06-09,down,201.65,1,low,194.13,7,3.87,False,v4 high->low 38% retrace
2025-06-24,up,198.38,1,low,198.3,4,0.04,False,v4 low->high 38% retrace
2025-07-03,up,199.89,4,high,215.19,1,7.11,False,v4 low->high 38% retrace
2025-07-10,down,208.74,1,high,214.74,7,2.79,False,v4 high->low 38% retrace
2025-07-14,up,209.65,1,high,214.74,5,2.37,False,v4 low->high 38% retrace
2025-07-24,down,211.49,1,low,200.53,6,5.47,False,v4 high->low 38% retrace
2025-08-06,up,205.96,2,high,234.25,6,12.08,False,v4 low->high 38% retrace
2025-08-19,down,221.37,2,low,222.96,2,0.71,True,v4 high->low 38% retrace
2025-08-26,up,227.27,1,low,226.13,4,0.5,False,v4 low->high 38% retrace
2025-09-05,up,227.34,3,low,225.12,3,0.99,False,v4 low->high 38% retrace
2025-09-10,down,234.97,2,high,258.29,17,9.03,False,v4 high->low 38% retrace
2025-09-15,up,230.97,1,high,258.29,14,10.58,False,v4 low->high 38% retrace
2025-10-08,down,245.62,3,low,243.1,2,1.04,False,v4 high->low 38% retrace
2025-10-15,up,248.9,1,high,264.31,4,5.83,False,v4 low->high 38% retrace
2025-10-24,down,256.21,1,high,276.3,5,7.27,False,v4 high->low 38% retrace
2025-11-05,down,271.72,1,low,265.79,2,2.23,False,v4 high->low 38% retrace
2025-11-06,up,269.48,1,low,265.79,1,1.39,False,v4 low->high 38% retrace
