week_ending,Open,High,Low,Close,Volume
2026-07-10,307.1,316.64,306.74,315.05,219660300
2026-07-17,316.75,334.7,311.64,333.45,266929900
2026-07-24,333.22,334.08,319.07,332.73,221893000
2026-07-31,334.25,344.27,299.74,308.64,364861000
2026-08-07,309.31,316.02,301.06,313.06,273068900
2026-08-14,306.83,309.97,300.57,305.93,192525700
2026-08-21,306.21,320.28,302.94,309.35,229935400
2026-08-28,311.47,322.37,308.21,319.7,165636500
2026-09-04,319.6,330.81,312.8,319.97,205019200
2026-09-11,317.1,336.22,309.9,333.28,202770524
