asof,pred_dir,pred_lvl,pred_eta,true_side,true_lvl,true_in,err_pct,hit,why
2011-12-09,down,19.17,3,low,19.68,1,2.59,False,v2 weak-down 0.786 retrace
2011-12-15,down,19.78,1,high,20.38,4,2.94,False,v2 range mid+0.272
2011-12-27,up,20.26,1,high,21.94,7,7.66,False,v2 weak-up 0.786 retrace
2012-01-11,up,23.26,5,high,23.31,7,0.21,True,v2 strong-up 1.618 ext
2012-01-17,up,22.34,1,high,23.31,4,4.16,False,v2 strong-up 1.618 ext
2012-01-26,up,24.55,5,low,22.44,2,9.4,False,v2 strong-up 1.618 ext
2012-02-02,up,23.85,2,high,23.97,5,0.5,True,v2 strong-up 1.618 ext
2012-02-14,up,24.92,4,high,24.82,5,0.4,True,v2 strong-up 1.618 ext
2012-02-15,up,23.97,1,high,24.82,4,3.42,False,v2 range mid+0.272
2012-02-17,up,23.84,2,high,24.82,2,3.95,False,v2 range mid+0.272
2012-02-27,up,25.71,3,high,25.41,4,1.18,False,v2 strong-up 1.618 ext
2012-03-07,up,25.77,2,high,25.81,7,0.15,True,v2 strong-up 1.618 ext
2012-03-09,up,25.87,2,high,25.81,5,0.23,True,v2 strong-up 1.618 ext
2012-03-21,up,26.51,5,low,24.85,2,6.68,False,v2 strong-up 1.618 ext
2012-03-28,up,26.4,4,low,23.68,9,11.49,False,v2 strong-up 1.618 ext
2012-03-30,up,25.44,1,low,23.68,7,7.43,False,v2 range mid+0.272
2012-04-02,up,25.62,1,low,23.68,6,8.19,False,v2 range mid+0.272
2012-04-16,down,24.12,1,high,25.76,4,6.37,False,v2 range mid+0.272
2012-04-25,up,25.29,1,high,25.33,4,0.16,True,v2 range mid+0.272
2012-05-04,down,25.42,3,low,23.58,3,7.8,False,v2 weak-down 0.786 retrace
2012-05-14,down,23.95,1,low,22.58,7,6.07,False,v2 weak-down 0.786 retrace
2012-05-16,down,23.82,1,low,22.58,5,5.49,False,v2 weak-down 0.786 retrace
2012-05-29,down,23.04,1,low,22.33,4,3.18,False,v2 weak-down 0.786 retrace
2012-06-01,down,22.05,1,low,22.33,1,1.25,False,v2 strong-down 1.618 ext
2012-06-07,down,22.57,1,high,23.51,2,4.0,False,v2 weak-down 0.786 retrace
2012-06-14,down,22.6,1,high,24.55,5,7.94,False,v2 range mid+0.272
2012-06-26,up,24.31,2,low,23.2,2,4.78,False,v2 range mid+0.272
2012-07-03,up,24.26,1,high,24.27,1,0.04,True,v2 weak-up 0.786 retrace
2012-07-10,down,23.44,1,low,22.5,2,4.18,False,v2 range mid+0.272
2012-07-17,down,22.88,1,high,24.48,3,6.54,False,v2 weak-down 0.786 retrace
2012-07-25,down,22.95,1,high,23.54,2,2.51,False,v2 range mid+0.272
2012-07-30,up,24.1,2,low,22.84,3,5.52,False,v2 weak-up 0.786 retrace
2012-08-01,down,22.88,1,low,22.84,1,0.18,True,v2 range mid+0.272
2012-08-07,up,23.38,1,high,24.17,2,3.27,False,v2 range mid+0.272
2012-08-14,up,23.89,1,high,24.57,5,2.77,False,v2 weak-up 0.786 retrace
2012-08-24,up,24.48,1,high,24.57,1,0.37,True,v2 weak-up 0.786 retrace
2012-08-28,up,24.42,1,low,23.93,4,2.05,False,v2 weak-up 0.786 retrace
2012-08-30,up,24.41,1,low,23.93,2,2.01,False,v2 range mid+0.272
2012-09-07,up,24.42,1,low,24.13,4,1.2,False,v2 range mid+0.272
2012-09-11,up,24.68,1,low,24.13,2,2.28,False,v2 weak-up 0.786 retrace
2012-09-18,up,24.73,1,high,25.09,3,1.43,False,v2 weak-up 0.786 retrace
2012-09-26,up,24.88,3,low,23.35,3,6.55,False,v2 weak-up 0.786 retrace
2012-10-04,down,23.75,1,high,24.01,1,1.08,False,v2 range mid+0.272
2012-10-10,down,22.94,1,low,22.86,2,0.35,True,v2 strong-down 1.618 ext
2012-10-17,down,23.11,1,low,22.03,4,4.9,False,v2 weak-down 0.786 retrace
2012-10-19,down,22.4,1,low,22.03,2,1.68,False,v2 strong-down 1.618 ext
2012-10-26,down,21.05,4,high,23.97,5,12.18,False,v2 strong-down 1.618 ext
2012-11-09,down,22.47,1,low,21.08,5,6.59,False,v2 range mid+0.272
2012-11-21,down,21.74,1,high,22.22,1,2.16,False,v2 range mid+0.272
2012-11-28,down,21.32,2,low,21.01,5,1.48,False,v2 weak-down 0.786 retrace
2012-12-10,down,21.27,1,high,22.1,2,3.76,False,v2 weak-down 0.786 retrace
2012-12-17,down,21.24,1,high,22.19,2,4.28,False,v2 weak-down 0.786 retrace
2012-12-20,up,21.93,1,low,21.1,6,3.93,False,v2 range mid+0.272
2012-12-24,up,22.01,1,low,21.1,4,4.31,False,v2 weak-up 0.786 retrace
2013-01-04,down,21.35,1,low,21.03,5,1.52,False,v2 range mid+0.272
2013-01-07,down,21.35,1,low,21.03,4,1.52,False,v2 range mid+0.272
2013-01-16,down,21.29,1,low,21.61,3,1.48,False,v2 range mid+0.272
2013-01-25,up,21.48,2,high,22.59,1,4.91,False,v2 range mid+0.272
2013-01-30,up,22.38,1,low,21.69,6,3.18,False,v2 weak-up 0.786 retrace
2013-01-31,up,22.59,2,low,21.69,5,4.15,False,v2 range mid+0.272
2013-02-12,up,22.38,1,high,22.75,5,1.63,False,v2 range mid+0.272
2013-02-25,up,22.52,1,low,22.05,2,2.13,False,v2 weak-up 0.786 retrace
2013-02-26,up,22.58,2,low,22.05,1,2.4,False,v2 weak-up 0.786 retrace
2013-03-04,up,22.03,3,high,23.03,1,4.34,False,v2 weak-up 0.786 retrace
2013-03-08,up,22.82,1,low,22.3,2,2.33,False,v2 weak-up 0.786 retrace
