ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2023-11-22 15:30:00-05:00,191.3,191.63,191.66,191.63,192.43,6.8,4,1d+1h+4h,0.116,False,nofill,0.0
2023-11-24 09:30:00-05:00,189.46,191.63,191.67,191.63,192.52,6.8,4,1d+1h+4h,0.787,False,nofill,0.0
2023-11-24 10:30:00-05:00,189.61,191.63,191.67,191.63,192.49,6.8,4,1d+1h+4h,0.733,False,nofill,0.0
2023-11-24 11:30:00-05:00,189.54,191.63,191.67,191.63,192.46,6.8,4,1d+1h+4h,0.758,False,nofill,0.0
2023-11-27 09:30:00-05:00,189.06,191.63,191.67,191.63,192.5,6.8,4,1d+1h+4h,0.958,False,nofill,0.0
2023-11-27 10:30:00-05:00,189.5,191.63,191.67,191.63,192.48,6.8,4,1d+1h+4h,0.795,False,nofill,0.0
2023-11-27 11:30:00-05:00,190.37,191.63,191.67,191.63,192.5,6.8,4,1d+1h+4h,0.469,False,nofill,0.0
2023-11-27 12:30:00-05:00,190.36,191.63,191.67,191.63,192.47,6.8,4,1d+1h+4h,0.471,False,nofill,0.0
2023-11-27 13:30:00-05:00,190.07,191.63,191.66,191.63,192.44,6.8,4,1d+1h+4h,0.581,False,nofill,0.0
2023-11-27 14:30:00-05:00,189.84,191.63,191.66,191.63,192.42,6.8,4,1d+1h+4h,0.667,False,nofill,0.0
2023-11-27 15:30:00-05:00,189.77,190.96,191.0,190.96,191.73,6.8,4,1d+1h+4h,0.444,True,scratch,-0.07923267594195371
2023-11-28 09:30:00-05:00,189.98,190.38,190.42,190.38,191.16,7.8,5,1d+1h+4h,0.153,True,scratch,-0.07954280716756523
2023-11-28 10:30:00-05:00,190.58,190.96,191.0,190.96,191.74,6.8,4,1d+1h+4h,0.144,True,scratch,-0.07934254828746434
2023-11-28 11:30:00-05:00,190.52,190.67,190.71,190.67,191.44,6.8,4,1d+1h+4h,0.058,False,nofill,0.0
2023-11-28 12:30:00-05:00,189.97,190.38,190.42,190.38,191.15,7.8,5,1d+1h+4h,0.157,False,nofill,0.0
2023-11-28 13:30:00-05:00,189.81,190.38,190.42,190.38,191.13,7.8,5,1d+1h+4h,0.217,True,scratch,-0.07866915722738455
2023-11-28 14:30:00-05:00,189.83,191.08,191.11,191.08,191.81,9.8,5,1d+1h+4h,0.48,True,scratch,-0.07825136110226616
2023-11-28 15:30:00-05:00,190.39,191.08,191.11,191.08,191.81,9.8,5,1d+1h+4h,0.265,True,scratch,-0.07810435350787959
2023-11-29 09:30:00-05:00,190.88,191.08,191.12,191.08,191.88,9.8,5,1d+1h+4h,0.076,False,nofill,0.0
2023-11-29 10:30:00-05:00,190.1,191.08,191.12,191.08,191.9,9.8,5,1d+1h+4h,0.372,False,nofill,0.0
2023-11-29 11:30:00-05:00,189.9,191.08,191.12,191.08,191.9,9.8,5,1d+1h+4h,0.447,False,nofill,0.0
2023-11-29 12:30:00-05:00,189.5,191.08,191.12,191.08,191.89,9.8,5,1d+1h+4h,0.598,False,nofill,0.0
2023-11-29 13:30:00-05:00,189.26,191.08,191.12,191.08,191.86,9.8,5,1d+1h+4h,0.688,False,nofill,0.0
2023-11-29 14:30:00-05:00,189.02,191.08,191.12,191.08,191.83,9.8,5,1d+1h+4h,0.782,False,nofill,0.0
