ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2023-11-27 11:30:00-05:00,152.84,152.98,153.01,152.98,153.56,6.0,4,1d+1h,0.081,True,scratch,-0.0778622260482198
2023-11-27 12:30:00-05:00,152.78,152.98,153.01,152.98,153.53,6.0,4,1d+1h,0.115,True,scratch,-0.07706341427251573
2024-01-10 11:30:00-05:00,169.48,169.63,169.67,169.63,170.45,6.6,5,1h+4h,0.074,True,target,0.40021188270649155
2024-01-11 09:30:00-05:00,169.1,169.41,169.45,169.41,170.31,10.4,8,1h+4h,0.153,True,scratch,-0.08530401232661466
2024-01-11 10:30:00-05:00,168.99,169.41,169.45,169.41,170.29,10.4,8,1h+4h,0.207,True,scratch,-0.08483295238003175
2024-01-11 11:30:00-05:00,168.96,169.41,169.45,169.41,170.27,10.4,8,1h+4h,0.221,True,scratch,-0.08404596109091722
2024-01-11 12:30:00-05:00,169.36,169.49,169.53,169.49,170.34,6.6,5,1h+4h,0.062,True,target,0.417883787006712
2024-01-12 15:30:00-05:00,169.06,169.41,169.47,169.41,170.65,10.4,8,1h+4h,0.147,False,nofill,0.0
2024-01-16 09:30:00-05:00,167.02,168.91,168.98,168.91,170.39,12.2,9,1h+4h,0.744,False,nofill,0.0
2024-01-16 10:30:00-05:00,166.72,168.91,168.98,168.91,170.42,12.2,9,1h+4h,0.862,False,nofill,0.0
2024-01-16 11:30:00-05:00,166.64,168.91,168.98,168.91,170.36,12.2,9,1h+4h,0.894,False,nofill,0.0
2024-01-16 12:30:00-05:00,166.96,168.91,168.98,168.91,170.31,12.2,9,1h+4h,0.766,False,nofill,0.0
2024-01-16 13:30:00-05:00,166.98,168.91,168.97,168.91,170.26,12.2,9,1h+4h,0.76,True,scratch,-0.09798824472950773
2024-01-16 14:30:00-05:00,167.46,168.91,168.97,168.91,170.22,12.2,9,1h+4h,0.571,True,scratch,-0.09690040598099303
2024-01-16 15:30:00-05:00,167.94,168.91,168.97,168.91,170.17,12.2,9,1h+4h,0.382,True,scratch,-0.09560518050416578
2024-01-17 09:30:00-05:00,167.96,168.91,168.97,168.91,170.26,12.2,9,1h+4h,0.373,False,nofill,0.0
2024-01-17 10:30:00-05:00,168.23,168.91,168.97,168.91,170.21,12.2,9,1h+4h,0.268,False,nofill,0.0
2024-01-17 11:30:00-05:00,167.7,168.91,168.97,168.91,170.19,12.2,9,1h+4h,0.476,False,nofill,0.0
2024-01-17 12:30:00-05:00,167.06,169.07,169.13,169.07,170.31,14.2,11,1h+4h,0.793,False,nofill,0.0
2024-01-17 13:30:00-05:00,167.25,169.07,169.13,169.07,170.26,14.2,11,1h+4h,0.718,False,nofill,0.0
2024-01-17 14:30:00-05:00,166.51,169.07,169.13,169.07,170.24,14.2,11,1h+4h,1.01,False,nofill,0.0
2024-01-17 15:30:00-05:00,167.15,169.07,169.12,169.07,170.21,14.2,11,1h+4h,0.758,False,nofill,0.0
2024-01-18 09:30:00-05:00,166.09,169.07,169.13,169.07,170.23,14.2,11,1h+4h,1.188,False,nofill,0.0
2024-01-18 10:30:00-05:00,165.84,169.07,169.12,169.07,170.22,14.2,11,1h+4h,1.288,False,nofill,0.0
2024-01-18 11:30:00-05:00,165.7,169.07,169.12,169.07,170.19,14.2,11,1h+4h,1.344,False,nofill,0.0
2024-01-18 12:30:00-05:00,166.26,169.07,169.12,169.07,170.16,14.2,11,1h+4h,1.12,False,nofill,0.0
2024-01-18 13:30:00-05:00,166.73,169.07,169.12,169.07,170.12,14.2,11,1h+4h,0.935,False,nofill,0.0
2024-01-18 14:30:00-05:00,167.1,169.07,169.12,169.07,170.09,14.2,11,1h+4h,0.786,True,scratch,-0.08874358627803947
2024-01-18 15:30:00-05:00,167.42,169.07,169.12,169.07,170.06,14.2,11,1h+4h,0.658,True,scratch,-0.08780802474053218
2024-01-19 09:30:00-05:00,168.5,169.07,169.12,169.07,170.12,14.2,11,1h+4h,0.22,True,scratch,-0.089492296719762
2024-01-19 10:30:00-05:00,169.01,169.41,169.46,169.41,170.46,11.4,9,1h+4h,0.156,True,target,0.5286709563774306
2024-01-19 11:30:00-05:00,169.44,169.63,169.68,169.63,170.64,7.6,6,1h+4h,0.072,True,target,0.5054848852819038
2024-01-23 09:30:00-05:00,169.04,169.41,169.45,169.41,170.33,11.4,9,1h+4h,0.15,False,nofill,0.0
