ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2023-12-04 09:30:00-05:00,363.64,365.9,366.03,365.9,368.66,7.6,6,1h+4h,0.345,True,target,0.6575134310581987
2023-12-04 10:30:00-05:00,365.71,366.3,366.43,366.3,369.08,7.6,6,1h+4h,0.09,True,target,0.6631988872733752
2023-12-04 11:30:00-05:00,368.2,376.27,376.4,376.27,379.08,7.0,5,1d+1h,1.23,False,nofill,0.0
2023-12-04 12:30:00-05:00,368.37,376.27,376.4,376.27,378.99,7.0,5,1d+1h,1.205,False,nofill,0.0
2023-12-04 13:30:00-05:00,368.14,376.27,376.39,376.27,378.92,7.0,5,1d+1h,1.24,False,nofill,0.0
2023-12-04 14:30:00-05:00,368.72,376.27,376.39,376.27,378.82,7.0,5,1d+1h,1.152,False,nofill,0.0
2023-12-04 15:30:00-05:00,369.27,376.27,376.38,376.27,378.71,7.0,5,1d+1h,1.067,False,nofill,0.0
2023-12-05 09:30:00-05:00,370.54,376.35,376.48,376.35,379.05,7.0,5,1d+1h,0.878,False,nofill,0.0
2023-12-05 10:30:00-05:00,370.76,376.35,376.48,376.35,379.06,7.0,5,1d+1h,0.846,False,nofill,0.0
2023-12-05 11:30:00-05:00,371.79,376.07,376.2,376.07,378.78,7.0,5,1d+1h,0.647,False,nofill,0.0
2023-12-05 12:30:00-05:00,371.72,376.07,376.2,376.07,378.77,7.0,5,1d+1h,0.658,False,nofill,0.0
2023-12-05 13:30:00-05:00,372.03,376.07,376.19,376.07,378.68,7.0,5,1d+1h,0.611,False,nofill,0.0
2023-12-05 14:30:00-05:00,372.39,376.07,376.19,376.07,378.61,7.0,5,1d+1h,0.557,False,nofill,0.0
2023-12-05 15:30:00-05:00,372.57,376.07,376.19,376.07,378.49,7.0,5,1d+1h,0.53,False,nofill,0.0
2023-12-06 09:30:00-05:00,370.05,376.35,376.48,376.35,379.01,7.0,5,1d+1h,0.959,False,nofill,0.0
2023-12-06 10:30:00-05:00,369.7,376.27,376.39,376.27,378.88,7.0,5,1d+1h,1.001,False,nofill,0.0
2023-12-06 11:30:00-05:00,369.15,376.27,376.39,376.27,378.78,7.0,5,1d+1h,1.084,False,nofill,0.0
2023-12-06 12:30:00-05:00,369.55,376.07,376.19,376.07,378.52,7.0,5,1d+1h,0.993,False,nofill,0.0
