ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2023-11-22 13:30:00-05:00,49.21,49.76,49.79,49.76,50.35,10.8,6,1d+1h+4h,0.374,False,nofill,0.0
2023-11-22 14:30:00-05:00,48.79,49.76,49.79,49.76,50.35,10.8,6,1d+1h+4h,0.654,False,nofill,0.0
2023-11-22 15:30:00-05:00,48.71,49.76,49.79,49.76,50.33,10.8,6,1d+1h+4h,0.709,False,nofill,0.0
2023-11-24 09:30:00-05:00,48.03,50.11,50.14,50.11,50.71,13.8,7,1d+1h+4h,1.42,False,nofill,0.0
2023-11-24 10:30:00-05:00,48.16,50.11,50.14,50.11,50.69,13.8,7,1d+1h+4h,1.33,False,nofill,0.0
2023-11-24 11:30:00-05:00,48.0,50.11,50.14,50.11,50.67,13.8,7,1d+1h+4h,1.44,False,nofill,0.0
2023-11-27 09:30:00-05:00,48.18,50.11,50.14,50.11,50.68,13.8,7,1d+1h+4h,1.353,False,nofill,0.0
2023-11-27 10:30:00-05:00,47.98,50.11,50.14,50.11,50.67,13.8,7,1d+1h+4h,1.497,False,nofill,0.0
2023-11-27 11:30:00-05:00,48.12,50.11,50.14,50.11,50.65,13.8,7,1d+1h+4h,1.395,False,nofill,0.0
2023-11-27 12:30:00-05:00,48.4,50.11,50.14,50.11,50.65,13.8,7,1d+1h+4h,1.198,False,nofill,0.0
2023-11-27 13:30:00-05:00,48.37,50.11,50.14,50.11,50.62,13.8,7,1d+1h+4h,1.223,False,nofill,0.0
2023-11-27 14:30:00-05:00,48.36,50.11,50.14,50.11,50.61,13.8,7,1d+1h+4h,1.231,False,nofill,0.0
2023-11-27 15:30:00-05:00,48.23,50.11,50.14,50.11,50.59,13.8,7,1d+1h+4h,1.318,False,nofill,0.0
2023-11-28 09:30:00-05:00,47.71,50.11,50.14,50.11,50.62,13.8,7,1d+1h+4h,1.738,False,nofill,0.0
2023-11-28 10:30:00-05:00,48.02,50.11,50.14,50.11,50.62,13.8,7,1d+1h+4h,1.513,False,nofill,0.0
2023-11-28 11:30:00-05:00,48.05,50.11,50.14,50.11,50.6,13.8,7,1d+1h+4h,1.487,False,nofill,0.0
2023-11-28 12:30:00-05:00,47.69,50.11,50.14,50.11,50.6,13.8,7,1d+1h+4h,1.753,False,nofill,0.0
2023-11-28 13:30:00-05:00,47.61,50.11,50.13,50.11,50.58,13.8,7,1d+1h+4h,1.806,False,nofill,0.0
2023-11-28 14:30:00-05:00,47.61,50.11,50.13,50.11,50.57,13.8,7,1d+1h+4h,1.806,False,nofill,0.0
