ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2023-11-22 13:30:00-05:00,233.21,253.68,253.84,253.68,257.11,28.0,10,1d+1h,1.904,False,nofill,0.0
2023-11-22 14:30:00-05:00,233.08,253.68,253.84,253.68,257.01,28.0,10,1d+1h,1.916,False,nofill,0.0
2023-11-22 15:30:00-05:00,234.21,253.68,253.83,253.68,256.89,28.0,10,1d+1h,1.811,False,nofill,0.0
2023-11-24 09:30:00-05:00,235.36,253.68,253.84,253.68,256.99,28.0,10,1d+1h,1.755,False,nofill,0.0
2023-11-24 10:30:00-05:00,237.85,253.68,253.84,253.68,257.03,28.0,10,1d+1h,1.517,False,nofill,0.0
2023-11-24 11:30:00-05:00,237.35,253.68,253.83,253.68,256.91,28.0,10,1d+1h,1.564,False,nofill,0.0
2023-11-27 09:30:00-05:00,234.19,253.68,253.84,253.68,257.08,28.0,10,1d+1h,1.922,False,nofill,0.0
2023-11-27 10:30:00-05:00,234.35,253.68,253.84,253.68,257.05,28.0,10,1d+1h,1.906,False,nofill,0.0
2023-11-27 11:30:00-05:00,236.98,253.68,253.84,253.68,257.03,28.0,10,1d+1h,1.647,False,nofill,0.0
2023-11-27 12:30:00-05:00,237.44,253.68,253.83,253.68,256.91,28.0,10,1d+1h,1.602,False,nofill,0.0
2023-11-27 13:30:00-05:00,237.08,253.68,253.83,253.68,256.79,28.0,10,1d+1h,1.637,False,nofill,0.0
2023-11-27 14:30:00-05:00,236.64,253.68,253.82,253.68,256.71,28.0,10,1d+1h,1.68,False,nofill,0.0
2023-11-27 15:30:00-05:00,236.11,253.68,253.82,253.68,256.58,28.0,10,1d+1h,1.733,False,nofill,0.0
2023-11-28 09:30:00-05:00,235.79,253.68,253.83,253.68,256.74,28.0,10,1d+1h,1.73,False,nofill,0.0
2023-11-28 10:30:00-05:00,240.95,253.68,253.84,253.68,257.12,28.0,10,1d+1h,1.231,False,nofill,0.0
2023-11-28 11:30:00-05:00,242.58,253.68,253.84,253.68,257.03,28.0,10,1d+1h,1.074,False,nofill,0.0
2023-11-28 12:30:00-05:00,243.82,253.68,253.84,253.68,256.98,28.0,10,1d+1h,0.953,False,nofill,0.0
2023-11-28 13:30:00-05:00,245.41,253.68,253.83,253.68,256.89,28.0,10,1d+1h,0.8,False,nofill,0.0
2023-11-28 14:30:00-05:00,245.39,253.68,253.83,253.68,256.78,28.0,10,1d+1h,0.802,False,nofill,0.0
2023-11-28 15:30:00-05:00,246.72,253.68,253.82,253.68,256.68,28.0,10,1d+1h,0.673,False,nofill,0.0
2023-11-29 09:30:00-05:00,251.23,253.68,253.83,253.68,256.92,28.0,10,1d+1h,0.237,False,nofill,0.0
2023-11-29 10:30:00-05:00,245.57,253.68,253.85,253.68,257.15,28.0,10,1d+1h,0.786,False,nofill,0.0
2023-11-29 11:30:00-05:00,248.96,253.68,253.85,253.68,257.17,28.0,10,1d+1h,0.458,False,nofill,0.0
2023-11-29 12:30:00-05:00,247.11,253.68,253.84,253.68,257.11,29.0,11,1d+1h,0.637,False,nofill,0.0
2023-11-29 13:30:00-05:00,246.26,253.68,253.84,253.68,257.0,29.0,11,1d+1h,0.72,False,nofill,0.0
2023-11-29 14:30:00-05:00,243.16,253.68,253.84,253.68,257.03,29.0,11,1d+1h,1.02,False,nofill,0.0
2023-11-29 15:30:00-05:00,244.15,253.68,253.83,253.68,256.9,29.0,11,1d+1h,0.924,False,nofill,0.0
2023-11-30 09:30:00-05:00,243.44,253.68,253.84,253.68,257.1,29.0,11,1d+1h,1.006,False,nofill,0.0
2023-11-30 10:30:00-05:00,239.88,253.68,253.85,253.68,257.21,29.0,11,1d+1h,1.356,False,nofill,0.0
2023-11-30 11:30:00-05:00,240.18,253.68,253.84,253.68,257.11,29.0,11,1d+1h,1.327,False,nofill,0.0
2023-11-30 12:30:00-05:00,239.72,253.68,253.84,253.68,257.04,30.8,12,1d+1h+4h,1.372,False,nofill,0.0
2023-11-30 13:30:00-05:00,239.96,253.68,253.84,253.68,256.96,30.8,12,1d+1h+4h,1.348,False,nofill,0.0
2023-11-30 14:30:00-05:00,239.42,253.68,253.84,253.68,256.96,30.8,12,1d+1h+4h,1.402,False,nofill,0.0
2023-11-30 15:30:00-05:00,239.99,253.68,253.84,253.68,256.99,30.8,12,1d+1h+4h,1.346,False,nofill,0.0
