trend,hi,lo,n,hit_rate,he_med,le_med,dir_acc,ticker
none,close_atr@1.5,close_atr@1.5,81,0.0494,2.22,2.39,0.494,AAPL
none,close_atr@1.5,close_atr@2.0,81,0.0247,2.22,2.88,0.494,AAPL
none,close_atr@1.5,close_atr@2.5,81,0.0123,2.22,3.74,0.494,AAPL
none,close_atr@1.5,close_atr@3.0,81,0.0247,2.22,4.81,0.494,AAPL
none,close_atr@1.5,lo20_atr@0.5,81,0.0247,2.22,5.92,0.531,AAPL
none,close_atr@1.5,lo20_atr@1.0,81,0.0247,2.22,6.64,0.506,AAPL
none,close_atr@1.5,keltner@2.0,81,0.0494,2.22,3.51,0.519,AAPL
none,close_atr@1.5,keltner@2.5,81,0.0123,2.22,4.05,0.531,AAPL
none,close_atr@1.5,fibext@1.272,81,0.0123,2.22,7.54,0.519,AAPL
none,close_atr@1.5,fibext@1.618,81,0.0247,2.22,11.04,0.481,AAPL
none,close_atr@2.0,close_atr@1.5,81,0.0247,2.37,2.39,0.506,AAPL
none,close_atr@2.0,close_atr@2.0,81,0.037,2.37,2.88,0.494,AAPL
none,close_atr@2.0,close_atr@2.5,81,0.0123,2.37,3.74,0.494,AAPL
none,close_atr@2.0,close_atr@3.0,81,0.037,2.37,4.81,0.494,AAPL
none,close_atr@2.0,lo20_atr@0.5,81,0.0247,2.37,5.92,0.531,AAPL
none,close_atr@2.0,lo20_atr@1.0,81,0.0247,2.37,6.64,0.531,AAPL
none,close_atr@2.0,keltner@2.0,81,0.0494,2.37,3.51,0.556,AAPL
none,close_atr@2.0,keltner@2.5,81,0.0,2.37,4.05,0.519,AAPL
none,close_atr@2.0,fibext@1.272,81,0.0123,2.37,7.54,0.506,AAPL
none,close_atr@2.0,fibext@1.618,81,0.0,2.37,11.04,0.481,AAPL
none,close_atr@2.5,close_atr@1.5,81,0.0123,3.04,2.39,0.506,AAPL
none,close_atr@2.5,close_atr@2.0,81,0.0247,3.04,2.88,0.506,AAPL
none,close_atr@2.5,close_atr@2.5,81,0.0123,3.04,3.74,0.494,AAPL
