ticker,trend,k,fade,th,2026-06,2026-06_bh,2026-07,2026-07_bh,2026-08,2026-08_bh,sel
AAPL,ema50,1.5,False,0.001,-16.28,-5.53,6.72,4.94,-2.61,3.77,-4.78
AAPL,ema50,1.5,False,0.003,-16.28,-5.53,6.72,4.94,-2.61,3.77,-4.78
AAPL,ema50,1.5,True,0.001,18.09,-5.53,-7.64,4.94,2.1,3.77,5.22
AAPL,ema50,1.5,True,0.003,18.09,-5.53,-7.64,4.94,2.1,3.77,5.22
AAPL,ema50,2.0,False,0.001,-16.28,-5.53,6.72,4.94,-2.61,3.77,-4.78
AAPL,ema50,2.0,False,0.003,-16.28,-5.53,6.72,4.94,-2.61,3.77,-4.78
AAPL,ema50,2.0,True,0.001,18.09,-5.53,-7.64,4.94,2.1,3.77,5.22
AAPL,ema50,2.0,True,0.003,18.09,-5.53,-7.64,4.94,2.1,3.77,5.22
AAPL,macd,1.5,False,0.001,5.74,-5.53,-3.18,4.94,-3.22,3.77,1.28
AAPL,macd,1.5,False,0.003,5.74,-5.53,-3.18,4.94,-3.22,3.77,1.28
AAPL,macd,1.5,True,0.001,-6.5,-5.53,1.71,4.94,2.95,3.77,-2.4
AAPL,macd,1.5,True,0.003,-6.5,-5.53,1.71,4.94,2.95,3.77,-2.4
AAPL,macd,2.0,False,0.001,5.74,-5.53,-3.18,4.94,-3.22,3.77,1.28
AAPL,macd,2.0,False,0.003,5.74,-5.53,-3.18,4.94,-3.22,3.77,1.28
AAPL,macd,2.0,True,0.001,-6.5,-5.53,1.71,4.94,2.95,3.77,-2.4
AAPL,macd,2.0,True,0.003,-6.5,-5.53,1.71,4.94,2.95,3.77,-2.4
AAPL,mom10,1.5,False,0.001,-11.68,-5.53,-3.18,4.94,2.47,3.77,-7.43
AAPL,mom10,1.5,False,0.003,-11.68,-5.53,-3.18,4.94,2.47,3.77,-7.43
AAPL,mom10,1.5,True,0.001,11.72,-5.53,1.71,4.94,-2.96,3.77,6.71
AAPL,mom10,1.5,True,0.003,11.72,-5.53,1.71,4.94,-2.96,3.77,6.71
AAPL,mom10,2.0,False,0.001,-11.68,-5.53,-3.18,4.94,2.47,3.77,-7.43
AAPL,mom10,2.0,False,0.003,-11.68,-5.53,-3.18,4.94,2.47,3.77,-7.43
