ticker,trend,adx_x,2026-06,2026-06_bh,2026-07,2026-07_bh,2026-08,2026-08_bh,sel
AAPL,mom10,18,-11.68,-5.53,-3.18,4.94,-4.86,3.77,-7.43
AAPL,mom10,22,16.12,-5.53,-9.04,4.94,-7.72,3.77,3.54
AAPL,mom10,26,9.83,-5.53,1.71,4.94,-2.96,3.77,5.77
AAPL,ema50,18,-16.28,-5.53,6.72,4.94,-2.98,3.77,-4.78
AAPL,ema50,22,9.96,-5.53,-17.4,4.94,-2.81,3.77,-3.72
AAPL,ema50,26,13.07,-5.53,-7.64,4.94,2.1,3.77,2.72
QQQ,mom10,18,-18.84,-0.74,-9.59,-5.13,1.99,3.01,-14.21
QQQ,mom10,22,-11.78,-0.74,-2.67,-5.13,-2.2,3.01,-7.22
QQQ,mom10,26,-5.01,-0.74,-2.67,-5.13,-2.2,3.01,-3.84
QQQ,ema50,18,0.69,-0.74,-4.76,-5.13,2.15,3.01,-2.04
QQQ,ema50,22,0.89,-0.74,2.54,-5.13,-2.05,3.01,1.72
QQQ,ema50,26,2.21,-0.74,2.54,-5.13,-2.05,3.01,2.38
SPY,mom10,18,-0.1,-1.3,1.53,0.17,-0.93,1.77,0.71
SPY,mom10,22,0.48,-1.3,1.53,0.17,-0.93,1.77,1.0
SPY,mom10,26,6.73,-1.3,1.53,0.17,-0.93,1.77,4.13
SPY,ema50,18,-3.34,-1.3,1.51,0.17,-1.83,1.77,-0.91
SPY,ema50,22,-3.89,-1.3,1.51,0.17,-1.83,1.77,-1.19
SPY,ema50,26,1.17,-1.3,1.51,0.17,-1.83,1.77,1.34
