date,ticker,dir,agree,adx
2026-09-07,NVDA,UP,1.0,17.6
2026-09-07,AAPL,UP,0.89,14.9
2026-09-07,MSFT,UP,0.89,37.9
2026-09-07,AVGO,DN,1.0,23.7
2026-09-07,MU,UP,1.0,8.6
2026-09-07,BRK-B,UP,1.0,15.0
2026-09-07,JPM,UP,1.0,10.8
2026-09-07,WMT,DN,0.89,15.6
2026-09-07,V,UP,0.89,22.6
2026-09-07,JNJ,UP,1.0,25.1
2026-09-07,BAC,UP,1.0,22.5
2026-09-07,PLTR,UP,0.89,31.3
2026-09-07,CVX,UP,1.0,30.1
2026-09-07,COST,DN,1.0,12.5
2026-09-07,MRK,UP,1.0,42.7
2026-09-07,MS,UP,1.0,15.3
2026-09-07,PG,UP,0.89,8.3
2026-09-07,DELL,UP,1.0,9.9
2026-09-07,HD,DN,1.0,14.1
2026-09-07,GS,UP,0.89,8.9
2026-09-07,WFC,UP,1.0,15.9
2026-09-07,SNDK,UP,1.0,11.8
2026-09-07,ANET,UP,1.0,18.2
2026-09-07,AMGN,UP,0.89,45.2
2026-09-07,C,UP,1.0,14.5
2026-09-07,NVDA,UP,1.0,17.6
2026-09-07,AAPL,UP,0.89,14.9
2026-09-07,MSFT,UP,0.89,37.9
2026-09-07,AVGO,DN,1.0,23.7
2026-09-07,MU,UP,1.0,8.6
2026-09-07,BRK-B,UP,1.0,15.0
2026-09-07,JPM,UP,1.0,10.8
2026-09-07,WMT,DN,0.89,15.6
2026-09-07,V,UP,0.89,22.6
2026-09-07,JNJ,UP,1.0,25.1
2026-09-07,BAC,UP,1.0,22.5
2026-09-07,PLTR,UP,0.89,31.3
2026-09-07,CVX,UP,1.0,30.1
2026-09-07,COST,DN,1.0,12.5
2026-09-07,MRK,UP,1.0,42.7
2026-09-07,MS,UP,1.0,15.3
2026-09-07,PG,UP,0.89,8.3
2026-09-07,DELL,UP,1.0,9.9
2026-09-07,HD,DN,1.0,14.1
2026-09-07,GS,UP,0.89,8.9
2026-09-07,WFC,UP,1.0,15.9
2026-09-07,SNDK,UP,1.0,11.8
2026-09-07,ANET,UP,1.0,18.2
2026-09-07,AMGN,UP,0.89,45.2
2026-09-07,C,UP,1.0,14.5
2026-09-07,NVDA,UP,1.0,17.6
2026-09-07,AAPL,UP,0.89,14.9
2026-09-07,MSFT,UP,0.89,37.9
2026-09-07,AVGO,DN,1.0,23.7
2026-09-07,MU,UP,1.0,8.6
2026-09-07,BRK-B,UP,1.0,15.0
2026-09-07,JPM,UP,1.0,10.8
2026-09-07,WMT,DN,0.89,15.6
2026-09-07,V,UP,0.89,22.6
2026-09-07,JNJ,UP,1.0,25.1
2026-09-07,BAC,UP,1.0,22.5
2026-09-07,PLTR,UP,0.89,31.3
2026-09-07,CVX,UP,1.0,30.1
2026-09-07,COST,DN,1.0,12.5
2026-09-07,MRK,UP,1.0,42.7
2026-09-07,MS,UP,1.0,15.3
2026-09-07,PG,UP,0.89,8.3
2026-09-07,DELL,UP,1.0,9.9
2026-09-07,HD,DN,1.0,14.1
2026-09-07,GS,UP,0.89,8.9
2026-09-07,WFC,UP,1.0,15.9
2026-09-07,SNDK,UP,1.0,11.8
2026-09-07,ANET,UP,1.0,18.2
2026-09-07,AMGN,UP,0.89,45.2
2026-09-07,C,UP,1.0,14.5
2026-09-08,NVDA,UP,1.0,18.1
2026-09-08,GOOGL,DN,0.89,6.6
2026-09-08,GOOG,DN,0.89,6.4
2026-09-08,MSFT,UP,0.89,37.1
2026-09-08,AVGO,DN,0.89,23.6
2026-09-08,MU,UP,1.0,9.5
2026-09-08,BRK-B,UP,1.0,13.9
2026-09-08,WMT,DN,1.0,14.5
2026-09-08,AMD,UP,0.89,10.2
2026-09-08,JNJ,UP,0.89,24.2
2026-09-08,XOM,UP,1.0,19.4
2026-09-08,INTC,UP,0.89,14.5
2026-09-08,BAC,UP,1.0,22.3
2026-09-08,PLTR,UP,0.89,29.8
2026-09-08,CVX,UP,1.0,30.4
2026-09-08,COST,DN,1.0,13.0
2026-09-08,LRCX,UP,0.89,9.0
2026-09-08,MRK,UP,0.89,41.3
2026-09-08,MS,UP,1.0,15.5
2026-09-08,PG,DN,1.0,7.9
2026-09-08,DELL,UP,1.0,10.5
2026-09-08,NFLX,DN,0.89,20.0
2026-09-08,HD,DN,1.0,14.5
2026-09-08,WFC,UP,1.0,16.9
2026-09-08,SNDK,UP,1.0,13.1
2026-09-08,ANET,UP,1.0,17.5
2026-09-08,C,UP,1.0,14.6
2026-09-08,NVDA,UP,1.0,18.1
2026-09-08,GOOGL,DN,0.89,6.6
2026-09-08,GOOG,DN,0.89,6.4
2026-09-08,MSFT,UP,0.89,37.1
2026-09-08,AVGO,DN,0.89,23.6
2026-09-08,MU,UP,1.0,9.5
2026-09-08,WMT,DN,1.0,14.5
