rank,symbol,weight
1,NVDA,12.64
2,AAPL,11.63
3,MSFT,8.83
4,AMZN,6.64
5,GOOGL,5.11
6,SPCX,4.78
7,GOOG,4.77
8,AVGO,4.15
9,META,3.96
10,TSLA,3.46
11,MU,2.64
12,WMT,2.04
13,AMD,2.02
14,ASML,1.56
15,INTC,1.31
16,CSCO,1.06
17,PLTR,0.96
18,COST,0.96
19,LRCX,0.90
20,AMAT,0.87
21,NFLX,0.77
22,ARM,0.68
23,PANW,0.65
24,TXN,0.59
25,SNDK,0.57
26,KLAC,0.57
27,LIN,0.52
28,MRVL,0.51
29,CRWD,0.51
30,AMGN,0.49
31,TMUS,0.47
32,QCOM,0.47
33,STX,0.45
34,PEP,0.45
35,ADI,0.44
36,GILD,0.43
37,SHOP,0.40
38,WDC,0.39
39,BKNG,0.31
40,VRTX,0.31
41,ISRG,0.31
42,FTNT,0.27
43,SBUX,0.27
44,PDD,0.27
45,APP,0.26
46,ADP,0.26
47,CEG,0.24
48,ABNB,0.24
49,ADBE,0.24
50,MELI,0.23
51,CSX,0.22
52,CMCSA,0.21
53,DASH,0.21
54,MAR,0.21
55,INTU,0.21
56,MNST,0.20
57,LITE,0.20
58,CTAS,0.19
59,REGN,0.19
60,MDLZ,0.19
61,CDNS,0.19
62,DDOG,0.19
63,SNPS,0.18
64,ROST,0.18
65,WBD,0.17
66,ORLY,0.17
67,AEP,0.16
68,PCAR,0.15
69,HON,0.15
70,NBIS,0.15
71,MPWR,0.15
72,NXPI,0.14
73,TER,0.14
74,BKR,0.14
75,FANG,0.14
76,FAST,0.14
77,MSTR,0.12
78,ALAB,0.12
79,HONA,0.12
80,CRWV,0.12
81,XEL,0.11
82,PYPL,0.11
83,CCEP,0.11
84,WDAY,0.11
85,EXC,0.11
86,ADSK,0.11
87,KDP,0.10
88,TRI,0.10
89,PAYX,0.10
90,FER,0.10
91,MCHP,0.10
92,TTWO,0.10
93,RKLB,0.10
94,IDXX,0.10
95,AXON,0.09
96,ROP,0.09
97,ODFL,0.09
98,ALNY,0.08
99,DXCM,0.08
100,KHC,0.07
101,GEHC,0.07
102,CPRT,0.07
