rank,symbol,weight
1,NVDA,7.58
2,AAPL,6.98
3,MSFT,5.29
4,AMZN,3.98
5,GOOGL,3.07
6,GOOG,2.86
7,AVGO,2.49
8,META,2.37
9,TSLA,2.08
10,MU,1.58
11,BRK.B,1.57
12,LLY,1.43
13,JPM,1.36
14,WMT,1.22
15,AMD,1.21
16,V,0.99
17,XOM,0.98
18,JNJ,0.92
19,INTC,0.78
20,MA,0.72
21,ABBV,0.65
22,CSCO,0.64
23,BAC,0.63
24,ORCL,0.62
25,CVX,0.60
26,PLTR,0.58
27,COST,0.58
28,KO,0.55
29,CAT,0.54
30,LRCX,0.54
31,AMAT,0.52
32,DELL,0.52
33,MRK,0.51
34,UNH,0.49
35,PG,0.49
36,MS,0.48
37,GE,0.48
38,NFLX,0.46
39,HD,0.44
40,GS,0.43
41,PM,0.43
42,WFC,0.39
43,PANW,0.39
44,RTX,0.38
45,GEV,0.37
46,ANET,0.36
47,TXN,0.35
48,SNDK,0.34
49,KLAC,0.34
50,C,0.33
51,IBM,0.33
52,TMO,0.32
53,AXP,0.32
54,LIN,0.31
55,MRVL,0.31
56,CRWD,0.30
57,VZ,0.30
58,APH,0.30
59,AMGN,0.29
60,CRM,0.29
61,TMUS,0.28
62,QCOM,0.28
63,STX,0.27
64,PEP,0.27
65,SCHW,0.27
66,DIS,0.26
67,ADI,0.26
68,DE,0.26
69,MCD,0.26
70,T,0.26
71,GILD,0.26
72,ABT,0.25
73,NEE,0.25
74,WELL,0.24
75,UNP,0.24
76,BLK,0.24
77,BA,0.24
78,ETN,0.24
79,COP,0.24
80,WDC,0.23
81,PFE,0.23
82,UBER,0.21
83,GLW,0.21
84,DHR,0.20
85,TJX,0.20
86,NOW,0.20
87,NEM,0.19
88,BKNG,0.19
89,VRTX,0.19
90,CB,0.19
91,ISRG,0.19
92,BMY,0.19
93,PLD,0.19
94,COF,0.18
95,PGR,0.18
96,SPGI,0.17
97,CVS,0.17
98,LMT,0.17
99,PH,0.17
100,MDT,0.17
101,MO,0.17
102,FTNT,0.16
103,SBUX,0.16
104,ACN,0.16
105,VLO,0.16
106,MPC,0.16
107,LOW,0.16
108,BNY,0.16
109,APP,0.16
110,ADP,0.15
111,SYK,0.15
112,PSX,0.15
113,MCK,0.15
114,EQIX,0.15
115,FCX,0.15
116,HOOD,0.15
117,CEG,0.15
118,ABNB,0.14
119,SO,0.14
120,ADBE,0.14
121,CME,0.14
122,VRT,0.14
123,USB,0.14
124,PWR,0.14
125,PNC,0.14
126,TT,0.14
127,BX,0.14
128,GD,0.14
129,DUK,0.13
130,HCA,0.13
131,HWM,0.13
132,ELV,0.13
133,KKR,0.13
134,CSX,0.13
135,CMCSA,0.13
136,WMB,0.13
137,JCI,0.13
