snapshot_date,source,ticker,market_cap,dollar_vol_90d,sector
2026-09-10,etf-fixed,NVDA,,,
2026-09-10,etf-fixed,AAPL,,,
2026-09-10,etf-fixed,MSFT,,,
2026-09-10,etf-fixed,MU,,,
2026-09-10,etf-fixed,AMZN,,,
2026-09-10,etf-fixed,AMD,,,
2026-09-10,etf-fixed,GOOGL,,,
2026-09-10,etf-fixed,GOOG,,,
2026-09-10,etf-fixed,TSLA,,,
2026-09-10,etf-fixed,AVGO,,,
2026-09-10,etf-fixed,META,,,
2026-09-10,etf-fixed,WMT,,,
2026-09-10,etf-fixed,INTC,,,
2026-09-10,etf-fixed,CSCO,,,
2026-09-10,etf-fixed,PLTR,,,
2026-09-10,etf-fixed,COST,,,
2026-09-10,etf-fixed,LRCX,,,
2026-09-10,etf-fixed,AMAT,,,
2026-09-10,etf-fixed,NFLX,,,
2026-09-10,etf-fixed,PANW,,,
2026-09-10,etf-fixed,SPCX,,,
2026-09-10,etf-fixed,TXN,,,
2026-09-10,etf-fixed,KLAC,,,
2026-09-10,etf-fixed,AMGN,,,
2026-09-10,etf-fixed,CRWD,,,
2026-09-10,etf-fixed,LLY,,,
2026-09-10,etf-fixed,JPM,,,
2026-09-10,etf-fixed,BRK-B,,,
2026-09-10,etf-fixed,XOM,,,
2026-09-10,etf-fixed,JNJ,,,
2026-09-10,etf-fixed,V,,,
2026-09-10,etf-fixed,ABBV,,,
2026-09-10,etf-fixed,MA,,,
2026-09-10,etf-fixed,BAC,,,
