snapshot_date,source,ticker,market_cap,dollar_vol_90d,sector
2026-09-04,yfinance,NVDA,5562502934738.159,29103811105.317688,
2026-09-04,yfinance,AAPL,4669699792415.161,14213693871.990967,
2026-09-04,yfinance,GOOGL,4139343638396.4224,9849658689.637756,
2026-09-04,yfinance,GOOG,4100819418324.3706,6470745076.678467,
2026-09-04,yfinance,MSFT,3710545172496.566,13404488271.728516,
2026-09-04,yfinance,AMZN,2788370026832.8135,10139046037.27417,
2026-09-04,yfinance,AVGO,1702737923826.2349,8553036798.173523,
2026-09-04,yfinance,TSLA,1398455688234.0466,16992924133.0719,
2026-09-04,yfinance,MU,1148129813705.4724,39944400814.575195,
2026-09-04,yfinance,BRK-B,1083263374444.6489,2252737196.066284,
2026-09-04,yfinance,LLY,1024931889337.5417,3168261950.756836,
2026-09-04,yfinance,JPM,953331935913.0743,2503890432.449341,
2026-09-04,yfinance,WMT,850021567418.3656,2540830000.7801056,
2026-09-04,yfinance,AMD,779621117764.5443,14265259219.955444,
2026-09-04,yfinance,V,700273429107.7925,2476661108.3206177,
2026-09-04,yfinance,JNJ,663276417328.2467,1774145826.7692566,
2026-09-04,yfinance,XOM,655726605280.6238,2237125683.0596924,
2026-09-04,yfinance,MA,507393736595.6653,1793010319.165039,
2026-09-04,yfinance,INTC,506408900231.51306,12653569759.23996,
2026-09-04,yfinance,ORCL,457361181863.80005,4196866469.760895,
2026-09-04,yfinance,ABBV,453194883811.2208,1234835383.7051392,
2026-09-04,yfinance,BAC,438305469652.21747,1773409001.413536,
2026-09-04,yfinance,CSCO,430530474499.7797,2564326460.039139,
2026-09-04,yfinance,PLTR,418925189218.5315,5141152038.089752,
2026-09-04,yfinance,CVX,409190454929.07623,1569613234.790802,
2026-09-04,yfinance,COST,406111275644.1123,2019677870.2392578,
2026-09-04,yfinance,LRCX,384968898012.5427,2872174852.404785,
2026-09-04,yfinance,KO,378925510517.9762,1289141242.868042,
2026-09-04,yfinance,CAT,374147780274.91315,2395112880.105591,
2026-09-04,yfinance,MRK,370889916858.06616,1193212908.9027405,
2026-09-04,yfinance,AMAT,360856686525.3019,3859324769.8303223,
2026-09-04,yfinance,UNH,356470830685.942,2165957447.5982666,
2026-09-04,yfinance,GE,349783069316.3368,1422628095.0378418,
2026-09-04,yfinance,MS,341943695011.4352,1052193350.8666992,
2026-09-04,yfinance,PG,340389982981.2854,1220533198.2200623,
2026-09-04,yfinance,DELL,338669101676.897,2634999676.7456055,
2026-09-04,yfinance,NFLX,325828279647.0,2812669492.5468445,
2026-09-04,yfinance,HD,320308242248.47156,1393726523.1811523,
2026-09-04,yfinance,GS,302413531797.6738,1979106516.8151855,
2026-09-04,yfinance,PM,284493709118.0657,809960646.4920044,
2026-09-04,yfinance,WFC,272069223951.32544,1185335934.1522217,
2026-09-04,yfinance,PANW,271606907958.98438,2075290542.5567627,
2026-09-04,yfinance,RTX,270616348685.09082,948824292.5071716,
2026-09-04,yfinance,SNDK,254769061740.0,20958542466.888428,
2026-09-04,yfinance,GEV,250872919874.09235,2549269289.324951,
2026-09-04,yfinance,ANET,244400110749.85913,1360939848.3406067,
2026-09-04,yfinance,KLAC,242495090899.3287,2175851930.366516,
2026-09-04,yfinance,AMGN,236380537485.7106,930711039.2547607,
2026-09-04,yfinance,TXN,236019734199.4486,2144446834.992981,
2026-09-04,yfinance,C,231016595802.41232,1433459931.52771,
