ticker,status,note
AAPL,TEMPLATE,refresh via fetch_universe.py before any use
MSFT,TEMPLATE,refresh via fetch_universe.py before any use
NVDA,TEMPLATE,refresh via fetch_universe.py before any use
AMZN,TEMPLATE,refresh via fetch_universe.py before any use
GOOGL,TEMPLATE,refresh via fetch_universe.py before any use
AVGO,TEMPLATE,refresh via fetch_universe.py before any use
TSLA,TEMPLATE,refresh via fetch_universe.py before any use
JPM,TEMPLATE,refresh via fetch_universe.py before any use
XOM,TEMPLATE,refresh via fetch_universe.py before any use
LLY,TEMPLATE,refresh via fetch_universe.py before any use
V,TEMPLATE,refresh via fetch_universe.py before any use
MA,TEMPLATE,refresh via fetch_universe.py before any use
NFLX,TEMPLATE,refresh via fetch_universe.py before any use
ORCL,TEMPLATE,refresh via fetch_universe.py before any use
COST,TEMPLATE,refresh via fetch_universe.py before any use
WMT,TEMPLATE,refresh via fetch_universe.py before any use
HD,TEMPLATE,refresh via fetch_universe.py before any use
PG,TEMPLATE,refresh via fetch_universe.py before any use
JNJ,TEMPLATE,refresh via fetch_universe.py before any use
BAC,TEMPLATE,refresh via fetch_universe.py before any use
ABBV,TEMPLATE,refresh via fetch_universe.py before any use
KO,TEMPLATE,refresh via fetch_universe.py before any use
CRM,TEMPLATE,refresh via fetch_universe.py before any use
AMD,TEMPLATE,refresh via fetch_universe.py before any use
DIS,TEMPLATE,refresh via fetch_universe.py before any use
LIN,TEMPLATE,refresh via fetch_universe.py before any use
MRK,TEMPLATE,refresh via fetch_universe.py before any use
PEP,TEMPLATE,refresh via fetch_universe.py before any use
ACN,TEMPLATE,refresh via fetch_universe.py before any use
ABT,TEMPLATE,refresh via fetch_universe.py before any use
TXN,TEMPLATE,refresh via fetch_universe.py before any use
QCOM,TEMPLATE,refresh via fetch_universe.py before any use
UNH,TEMPLATE,refresh via fetch_universe.py before any use
PM,TEMPLATE,refresh via fetch_universe.py before any use
HON,TEMPLATE,refresh via fetch_universe.py before any use
IBM,TEMPLATE,refresh via fetch_universe.py before any use
GE,TEMPLATE,refresh via fetch_universe.py before any use
NOW,TEMPLATE,refresh via fetch_universe.py before any use
GS,TEMPLATE,refresh via fetch_universe.py before any use
MS,TEMPLATE,refresh via fetch_universe.py before any use
CAT,TEMPLATE,refresh via fetch_universe.py before any use
AXP,TEMPLATE,refresh via fetch_universe.py before any use
LOW,TEMPLATE,refresh via fetch_universe.py before any use
CVX,TEMPLATE,refresh via fetch_universe.py before any use
ADBE,TEMPLATE,refresh via fetch_universe.py before any use
INTU,TEMPLATE,refresh via fetch_universe.py before any use
AMAT,TEMPLATE,refresh via fetch_universe.py before any use
GILD,TEMPLATE,refresh via fetch_universe.py before any use
MDT,TEMPLATE,refresh via fetch_universe.py before any use
PLTR,TEMPLATE,refresh via fetch_universe.py before any use
